game_id,winner,loser,num_penalties
200011220BUF,PHI,BUF,2
200103210CAR,CAR,BUF,2
200103200BUF,BUF,TOR,1
200011280OTT,OTT,BUF,2
200101050BUF,TOR,TOR,3
200012300NYI,BUF,NYI,4
200012080NYR,NYR,BUF,3
200101310FLA,FLA,BUF,9
200101260BUF,BOS,BUF,13
200012160BUF,BUF,FLA,3
200102170BUF,BUF,NJD,3
200103010PHI,PHI,BUF,4
200011040PHI,PHI,BUF,2
200102100OTT,BUF,OTT,0
200104020FLA,BUF,FLA,3
200103030COL,BUF,COL,5
200101230BUF,CBJ,BUF,0
200104080BUF,PHI,BUF,0
200102270OTT,BUF,OTT,0
200101270NYI,BUF,NYI,3
200011170BUF,BUF,MIN,3
200012210BUF,WSH,BUF,3
200010170MTL,MTL,BUF,4
200102130ATL,ATL,BUF,4
200104010TBL,BUF,TBL,2
200010210DET,DET,BUF,0
200011250MTL,BUF,MTL,8
200103040DAL,DAL,BUF,2
200012260BUF,PIT,BUF,2
200102150BUF,BUF,ATL,4
200102190BUF,BUF,OTT,5
200011150BUF,DAL,DAL,6
200102110BUF,MTL,BUF,0
200011180STL,STL,BUF,2
200011110NJD,BUF,NJD,2
200101060NSH,BUF,NSH,0
200102220NJD,BUF,NJD,2
200101030TOR,BUF,BUF,2
200103260ATL,BUF,ATL,9
200103170WSH,BUF,WSH,3
200101090SJS,SJS,BUF,1
200104060BUF,BUF,WSH,6
200010250BUF,BUF,CAR,7
200104040BUF,BOS,BUF,0
200102060NYR,BUF,NYR,1
200010280CHI,BUF,CHI,0
200012050MTL,BUF,MTL,0
200012070BUF,BUF,NJD,2
200103240BUF,BUF,CAR,0
200012150CAR,CAR,BUF,0
200101010BUF,BOS,BUF,0
200010050BUF,BUF,CHI,4
200012230BUF,BUF,SJS,5
200010130EDM,EDM,BUF,3
200103060BOS,BUF,BOS,2
200010270BUF,BUF,TOR,2
200012020PIT,BUF,PIT,2
200011030BUF,BUF,MTL,2
200011240BUF,BUF,NYR,1
200011130BUF,BUF,CGY,2
200103160BUF,BUF,VAN,1
200101200TOR,TOR,BUF,7
200103270PIT,PIT,BUF,4
200101160BUF,BUF,TBL,1
200101190BUF,BUF,FLA,0
200101120MDA,BUF,MDA,4
200012010BUF,PIT,BUF,3
200102070BUF,BUF,NYI,13
200010070BUF,BUF,LAK,2
200102230BUF,PHX,BUF,2
200012200WSH,BUF,BUF,0
200012290BUF,BUF,OTT,3
200010140VAN,VAN,BUF,2
200010200BUF,MDA,MDA,0
200103140BUF,BUF,NYR,2
200102010TBL,TBL,BUF,1
200103090BUF,EDM,BUF,0
200012120BOS,BUF,BOS,2
200011090BUF,BUF,NYI,4
200102250BUF,BUF,TBL,1
200103300BUF,BUF,ATL,0
200101110LAK,LAK,BUF,0
