game_id,winner,loser,num_penalties
200011100CHI,MIN,CHI,0
200104010CHI,EDM,EDM,4
200103100LAK,CHI,CHI,6
200011050CHI,CHI,MDA,0
200010070CBJ,CHI,CBJ,5
200102100SJS,SJS,CHI,0
200103090MDA,MDA,CHI,0
200102070MDA,CHI,MDA,0
200011020BOS,BOS,CHI,2
200010140MTL,MTL,CHI,1
200102210CHI,DET,CHI,0
200012310CAR,CAR,CHI,2
200101190CHI,CHI,WSH,0
200012070CHI,MIN,CHI,9
200012100CHI,STL,CHI,8
200102180CHI,CHI,LAK,2
200101030CHI,CHI,VAN,0
200101170CHI,CHI,FLA,4
200102010CGY,CGY,CHI,2
200101210CHI,PIT,CHI,2
200010210STL,STL,CHI,5
200012130ATL,ATL,CHI,2
200011210PHX,CHI,PHX,0
200103040CHI,CAR,CHI,3
200102060LAK,CHI,CHI,4
200011170EDM,CHI,CHI,4
200010180CHI,NYR,CHI,1
200104060CHI,TOR,CHI,5
200010120CHI,DET,CHI,0
200103280CHI,OTT,CHI,2
200103070DAL,CHI,DAL,1
200102160CHI,CHI,STL,5
200101260COL,COL,CHI,2
200101120CBJ,CHI,CBJ,0
200102140CHI,SJS,CHI,0
200011080CHI,SJS,CHI,0
200010150CHI,CHI,CBJ,0
200011220SJS,SJS,CHI,5
200012270CHI,PHX,PHX,0
200101140CHI,COL,COL,2
200103180CHI,MDA,CHI,3
200012230OTT,CHI,OTT,0
200012290CHI,CHI,DET,2
200102230CHI,CHI,ATL,5
200012150DAL,DAL,CHI,5
200104080CBJ,CBJ,CHI,4
200010280CHI,BUF,CHI,0
200011140VAN,VAN,CHI,7
200103220CHI,NSH,CHI,1
200010050BUF,BUF,CHI,4
200103290PIT,PIT,CHI,2
200102250CHI,CHI,TOR,1
200011300CHI,NSH,CHI,0
200011110TOR,CHI,CHI,3
200102190NYR,NYR,CHI,1
200101050CHI,EDM,CHI,0
200011030DET,CHI,DET,0
200101250CHI,PHI,CHI,2
200012030CHI,CHI,CBJ,6
200011270DET,CHI,DET,0
200012090STL,STL,CHI,0
200103150CHI,CHI,NSH,0
200011240MIN,MIN,CHI,1
200101090NYI,CHI,NYI,5
200102110PHX,PHX,CHI,0
200012210CHI,CHI,VAN,2
200103250CHI,CGY,CHI,1
200102270WSH,CHI,WSH,0
200010260CHI,COL,CHI,0
200011160CGY,CHI,CGY,1
200104040CHI,CGY,CHI,3
200012010NSH,CHI,NSH,2
200101280VAN,CHI,VAN,7
200012160NSH,CHI,NSH,2
200010290MIN,CHI,MIN,4
200103010CHI,LAK,LAK,0
200010200CHI,DAL,CHI,3
200104020NJD,NJD,CHI,0
200101310EDM,EDM,CHI,0
200103130CHI,DAL,CHI,0
200101070CHI,CHI,TBL,0
200103240STL,STL,CHI,5
