game_id,winner,loser,num_penalties
200106070NJD,COL,NJD,6
200104280NJD,NJD,TOR,6
200105260COL,COL,NJD,8
200105050NJD,TOR,NJD,4
200105190PIT,NJD,PIT,1
200104170CAR,NJD,CAR,19
200105090NJD,NJD,TOR,0
200106020NJD,NJD,COL,1
200104150NJD,NJD,CAR,4
200105310NJD,COL,NJD,0
200105220NJD,NJD,PIT,0
200105290COL,NJD,COL,3
200105170PIT,NJD,PIT,1
200105070TOR,NJD,TOR,9
200106040COL,NJD,COL,4
200104180CAR,CAR,NJD,3
200105030TOR,TOR,NJD,5
200104220CAR,NJD,CAR,1
200104200NJD,CAR,NJD,3
200106090COL,COL,NJD,0
200105120NJD,NJD,PIT,0
200104120NJD,NJD,CAR,3
200105010TOR,NJD,TOR,4
200104260NJD,TOR,NJD,3
200105150NJD,PIT,NJD,1
