game_id,winner,loser,num_penalties
200010120SJS,SJS,PHX,0
200010270DAL,PHX,DAL,3
200103310PHX,PHX,SJS,3
200101100NJD,NJD,PHX,1
200010280PHX,PHX,LAK,2
200101150PHX,PHX,STL,5
200102270BOS,BOS,PHX,1
200103140PHX,NJD,PHX,2
200101210PHX,PHX,DAL,0
200012200PHX,PHX,CGY,5
200103020PHX,DET,DET,2
200010240CGY,PHX,PHX,4
200104050SJS,SJS,PHX,8
200012300STL,STL,PHX,4
200012100PHX,CBJ,CBJ,3
200102140FLA,FLA,PHX,2
200011300PHX,PHX,MIN,0
200012140PHX,PHX,TBL,2
200011010MDA,PHX,PHX,0
200103060PHX,PHX,NSH,1
200101290PHX,NSH,PHX,5
200012020PHX,DAL,PHX,12
200102250DET,DET,PHX,0
200012220PHX,PHX,ATL,3
200012290MIN,PHX,PHX,0
200011210PHX,CHI,PHX,0
200011120NYR,PHX,NYR,0
200101010PHX,SJS,PHX,5
200010140PHX,PHX,PHI,1
200103290NSH,NSH,PHX,3
200102160CAR,PHX,CAR,2
200011260PHI,PHX,PHI,0
200101060NYI,PHX,NYI,0
200103250PHX,NYI,NYI,1
200011110CBJ,CBJ,PHX,2
200012160PHX,SJS,PHX,0
200101240VAN,VAN,PHX,2
200011250STL,STL,PHX,5
200102070PHX,CAR,PHX,0
200101190MDA,PHX,MDA,0
200012270CHI,PHX,PHX,0
200101170PHX,PHX,PIT,2
200012060PHX,VAN,VAN,0
200010180PHX,PHX,FLA,2
200104030PHX,LAK,LAK,0
200010300COL,PHX,COL,0
200011080PHX,DET,PHX,4
200104060MDA,PHX,MDA,18
200101130MTL,MTL,PHX,3
200103160DAL,PHX,PHX,2
200102090PHX,PHX,EDM,2
200101260EDM,PHX,PHX,0
200103210PHX,OTT,PHX,1
200011140WSH,PHX,PHX,4
200103280MIN,PHX,MIN,2
200011290COL,COL,PHX,1
200102010PHX,MDA,PHX,2
200102280CBJ,CBJ,PHX,3
200101230CGY,PHX,CGY,2
200010050PHX,PHX,STL,3
200011030PHX,DAL,DAL,0
200011180PHX,MDA,PHX,3
200103240PHX,PHX,EDM,8
200103170NSH,NSH,PHX,2
200101090DET,PHX,PHX,1
200103040PHX,COL,PHX,2
200102130TBL,PHX,TBL,0
200010070PHX,PHX,MIN,3
200011160PHX,PHX,COL,1
200102230BUF,PHX,BUF,2
200102110PHX,PHX,CHI,0
200010150LAK,PHX,LAK,5
200103190LAK,LAK,PHX,7
200011070LAK,PHX,PHX,0
200103100PHX,MTL,MTL,2
200102180PHX,CGY,PHX,3
200010210VAN,PHX,VAN,1
200010220EDM,PHX,PHX,3
200101120TOR,TOR,PHX,1
200102210PHX,PHX,CBJ,0
200103080PHX,PHX,VAN,2
200101040PHX,PHX,NYR,6
