game_id,winner,loser,num_penalties
200011010SJS,SJS,PIT,3
200101030PIT,PIT,WSH,1
200012230PIT,DAL,PIT,5
200011100NJD,PIT,NJD,5
200103120NYR,PIT,PIT,3
200010270NYR,PIT,NYR,11
200011250PIT,LAK,LAK,4
200103100PIT,PIT,CGY,2
200012050OTT,PIT,OTT,5
200103140PIT,NYI,PIT,5
200010190OTT,PIT,PIT,2
200102100PIT,PIT,NJD,0
200101090BOS,BOS,PIT,6
200101210CHI,PIT,CHI,2
200101310PIT,PHI,PIT,11
200103200PIT,BOS,BOS,6
200101240PIT,PIT,MTL,3
200012130PIT,TOR,PIT,2
200101130NYI,NYI,PIT,2
200011040CGY,PIT,PIT,2
200102230PIT,PIT,NYR,3
200012210TBL,PIT,PIT,0
200101120PIT,PIT,NYI,4
200012260BUF,PIT,BUF,2
200103160FLA,PIT,FLA,11
200104070PHI,PHI,PIT,10
200010070NSH,PIT,NSH,2
200012100DET,PIT,DET,0
200101050PIT,MTL,PIT,2
200104020NYI,NYI,PIT,10
200012270PIT,PIT,TOR,4
200010210PIT,PIT,CBJ,3
200011080PIT,PIT,PHI,11
200102250PIT,PIT,NYI,2
200102160NJD,PIT,PIT,0
200101170PHX,PHX,PIT,2
200101080WSH,PIT,WSH,0
200010250PIT,OTT,PIT,1
200012200FLA,PIT,PIT,2
200103080ATL,PIT,ATL,5
200103170TBL,TBL,PIT,6
200011220PIT,CAR,PIT,0
200102280MTL,MTL,PIT,8
200103310PIT,PIT,STL,8
200012090TOR,TOR,PIT,1
200010140PIT,PIT,NYR,0
200102190PIT,COL,PIT,6
200012060PIT,BOS,PIT,0
200102210PIT,PIT,FLA,3
200011180PIT,PIT,ATL,2
200011030VAN,PIT,VAN,4
200103290PIT,PIT,CHI,2
200103230CAR,CAR,PIT,4
200104040PIT,PIT,TBL,1
200012020PIT,BUF,PIT,2
200103250NJD,PIT,NJD,0
200012150PIT,FLA,PIT,5
200011110PIT,PIT,EDM,1
200102170CBJ,PIT,CBJ,8
200101150PIT,PIT,MDA,2
200103270PIT,PIT,BUF,4
200012160MTL,PIT,PIT,4
200012010BUF,PIT,BUF,3
200011160STL,STL,PIT,0
200101270PIT,PIT,ATL,10
200010130PIT,PIT,TBL,2
200102110MIN,MIN,PIT,3
200101300ATL,PIT,ATL,13
200011130COL,COL,PIT,1
200011280BOS,BOS,PIT,9
200103020NYR,PIT,NYR,3
200011240PHI,PIT,PHI,1
200010180PIT,CAR,PIT,4
200010280PIT,NJD,PIT,9
200102140PIT,PIT,MIN,3
200103030WSH,WSH,PIT,5
200102070PIT,PIT,PHI,7
200104080CAR,PIT,CAR,9
200103070PIT,WSH,PIT,3
200101190DAL,DAL,PIT,2
200012300PIT,PIT,OTT,0
200010060PIT,NSH,PIT,1
