game_id,winner,loser,num_penalties
200101030PIT,PIT,WSH,1
200103110WSH,WSH,OTT,3
200103230FLA,FLA,WSH,3
200103060NYI,WSH,NYI,8
200011020STL,STL,WSH,2
200011050TBL,TBL,WSH,3
200010140DAL,DAL,WSH,0
200010070CAR,WSH,WSH,0
200012120NYI,WSH,NYI,1
200104010DET,DET,WSH,6
200010060WSH,LAK,WSH,0
200011240WSH,WSH,NYI,1
200101240WSH,WSH,FLA,2
200101190CHI,CHI,WSH,0
200103300CAR,CAR,WSH,7
200010210WSH,NYI,NYI,2
200011250ATL,ATL,WSH,0
200012210BUF,WSH,BUF,3
200010310WSH,WSH,DET,0
200010190WSH,WSH,NJD,4
200101300WSH,OTT,OTT,1
200101270MTL,MTL,WSH,2
200010260BOS,BOS,WSH,4
200011090WSH,NYR,WSH,2
200103090WSH,WSH,NYR,2
200102240CAR,WSH,CAR,0
200102070COL,WSH,COL,6
200101130WSH,WSH,ATL,5
200103240TBL,WSH,TBL,13
200103280WSH,WSH,CAR,2
200012090NJD,WSH,NJD,2
200011120WSH,ATL,ATL,2
200104030WSH,NJD,WSH,1
200010290PHI,WSH,WSH,0
200010270CBJ,CBJ,WSH,6
200101080WSH,PIT,WSH,0
200102090MDA,WSH,MDA,1
200104080WSH,WSH,TBL,4
200010170WSH,COL,WSH,2
200012270OTT,WSH,OTT,3
200103170WSH,BUF,WSH,3
200102130CGY,WSH,WSH,0
200103010WSH,TOR,WSH,5
200104060BUF,BUF,WSH,6
200012020BOS,WSH,BOS,4
200011290WSH,WSH,TBL,1
200102210WSH,WSH,NSH,0
200011040FLA,WSH,FLA,1
200104050WSH,WSH,FLA,0
200012060NYR,NYR,WSH,2
200011220WSH,WSH,VAN,5
200101050WSH,BOS,BOS,0
200012010WSH,WSH,BOS,5
200012140WSH,WSH,MIN,1
200010130NSH,NSH,WSH,0
200011140WSH,PHX,PHX,4
200103150WSH,CAR,WSH,3
200012230WSH,WSH,FLA,3
200101060TOR,WSH,TOR,1
200102100LAK,WSH,LAK,0
200010110ATL,WSH,WSH,2
200012180WSH,SJS,WSH,0
200101230TBL,WSH,TBL,0
200012290NJD,NJD,WSH,0
200012300WSH,WSH,PHI,1
200101180OTT,OTT,WSH,0
200102140VAN,WSH,VAN,1
200012200WSH,BUF,BUF,0
200101100MIN,MIN,WSH,1
200011170WSH,WSH,MTL,0
200102270WSH,CHI,WSH,0
200102010WSH,WSH,TOR,2
200103030WSH,WSH,PIT,5
200103190NYR,NYR,WSH,4
200102170MTL,WSH,MTL,6
200103070PIT,WSH,PIT,3
200101280WSH,WSH,PHI,2
200103130WSH,MDA,WSH,0
200012160WSH,WSH,EDM,0
200011180PHI,PHI,WSH,0
200102230WSH,WSH,MTL,3
200101010WSH,WSH,ATL,2
