game_id,winner,loser,num_penalties
200112080BOS,BOS,BUF,3
200201120BOS,NYI,BOS,6
200201300MTL,BOS,MTL,3
200110100MIN,MIN,BOS,2
200112180BOS,ATL,BOS,2
200203130NYR,BOS,NYR,0
200204070NJD,NJD,BOS,1
200204130BOS,BOS,PIT,7
200203010BUF,BUF,BOS,3
200203140BOS,TOR,BOS,1
200110060BOS,BOS,ATL,3
200110170MDA,BOS,BOS,6
200111150BOS,BOS,NJD,3
200110280CHI,BOS,BOS,5
200201020CAR,BOS,CAR,0
200201260BOS,BOS,FLA,2
200201190STL,STL,BOS,3
200201140WSH,WSH,BOS,1
200110080BOS,BOS,WSH,13
200112220NYI,BOS,NYI,0
200112120PIT,BOS,PIT,0
200203040BOS,PHI,BOS,2
200112280FLA,BOS,FLA,15
200203060MTL,MTL,BOS,8
200111240TOR,TOR,BOS,0
200111130BOS,BOS,MTL,3
200202090BOS,BOS,FLA,17
200111230BOS,BOS,VAN,4
200110250BOS,BOS,TOR,4
200202120VAN,BOS,VAN,1
200201080PIT,BOS,PIT,4
200204090BOS,TBL,TBL,0
200202040CBJ,BOS,CBJ,0
200202260NYI,BOS,BOS,3
200112200BOS,BOS,MTL,2
200202110COL,COL,BOS,0
200203230FLA,BOS,FLA,7
200110130SJS,SJS,BOS,4
200112130WSH,WSH,BOS,0
200112010OTT,OTT,BOS,1
200111080BOS,MIN,BOS,3
200204060BOS,NYR,BOS,8
200111030NJD,BOS,NJD,2
200201210BOS,STL,BOS,3
200204110OTT,OTT,BOS,3
200111100BOS,CBJ,BOS,2
200202050BOS,BUF,BUF,2
200201030BOS,TOR,BOS,0
200201280BOS,BOS,CHI,0
200112290TBL,BOS,TBL,4
200111290PHI,BOS,PHI,4
200110270BOS,NYR,BOS,0
200203240TBL,BOS,TBL,3
200203300BOS,CAR,BOS,1
200203080ATL,BOS,ATL,2
200201050BOS,BOS,WSH,6
200203090BOS,BOS,CGY,0
200204040BOS,NYI,BOS,0
200201100BOS,BOS,LAK,7
200203190BOS,BOS,PHX,5
200110160PHX,BOS,BOS,1
200111270BOS,BOS,TBL,2
200201170BOS,BOS,OTT,17
200112260BOS,BOS,OTT,3
200111170BOS,BOS,BUF,1
200203160BOS,BOS,DET,1
200110300BOS,NJD,BOS,1
200110230TOR,TOR,BOS,2
200110040BOS,BOS,MDA,8
200112150BOS,PHI,BOS,6
200110200NSH,BOS,NSH,6
200203210BUF,BOS,BUF,2
200111200MTL,MTL,BOS,2
200201230NYR,NYR,BOS,9
200112060BOS,PIT,BOS,2
200112310DAL,DAL,BOS,2
200202280BOS,CAR,BOS,12
200201240OTT,OTT,BOS,10
200204020PHI,BOS,PHI,9
200112040ATL,BOS,ATL,1
200203260CAR,BOS,CAR,1
200111060BOS,BOS,EDM,7
