game_id,winner,loser,num_penalties
200205130SJS,COL,SJS,1
200204250COL,LAK,COL,1
200205110COL,SJS,COL,0
200205080SJS,COL,SJS,0
200205310DET,DET,COL,2
200205200DET,COL,DET,2
200205040COL,COL,SJS,0
200204180COL,COL,LAK,0
200205220COL,DET,COL,5
200204200COL,COL,LAK,2
200205250COL,COL,DET,1
200204220LAK,LAK,COL,7
200205290COL,DET,COL,2
200205180DET,DET,COL,1
200204230LAK,COL,LAK,0
200205270DET,COL,DET,0
200204270LAK,LAK,COL,5
200205060SJS,SJS,COL,5
200205010COL,SJS,COL,6
200205150COL,COL,SJS,4
200204290COL,COL,LAK,1
