game_id,winner,loser,num_penalties
200205090STL,DET,STL,2
200205310DET,DET,COL,2
200205200DET,COL,DET,2
200204230VAN,DET,VAN,1
200205020DET,DET,STL,9
200204270VAN,DET,VAN,4
200205220COL,DET,COL,5
200206060DET,DET,CAR,6
200205250COL,COL,DET,1
200204250DET,DET,VAN,4
200205290COL,DET,COL,2
200205070STL,STL,DET,1
200205110DET,DET,STL,4
200205180DET,DET,COL,1
200206080CAR,DET,CAR,6
200204190DET,VAN,DET,0
200205270DET,COL,DET,0
200204170DET,VAN,DET,2
200206040DET,CAR,DET,1
200206130DET,DET,CAR,2
200205040DET,DET,STL,2
200206100CAR,DET,CAR,0
200204210VAN,DET,VAN,3
