game_id,winner,loser,num_penalties
200203080BUF,BUF,MTL,6
200204070OTT,MTL,OTT,4
200201300MTL,BOS,MTL,3
200201170CAR,MTL,MTL,2
200111010VAN,VAN,MTL,5
200201060EDM,EDM,MTL,1
200112010MTL,NYR,MTL,0
200110300EDM,EDM,MTL,2
200202110MTL,DET,MTL,2
200111290NYI,MTL,MTL,0
200111030CGY,CGY,MTL,8
200110060MTL,TOR,TOR,3
200204040PHI,MTL,PHI,1
200202260MTL,OTT,MTL,1
200111270MTL,MTL,ATL,3
200110270MTL,PHI,MTL,0
200203230NSH,NSH,MTL,1
200201050CGY,MTL,CGY,0
200204060MTL,MTL,CBJ,1
200112080MTL,PHX,PHX,0
200111170MTL,MTL,FLA,0
200201080MIN,MIN,MTL,0
200112280STL,STL,MTL,1
200203180CAR,MTL,MTL,0
200201100MTL,MTL,NYI,5
200202070MTL,MTL,PIT,0
200203110NYR,NYR,MTL,2
200203220TBL,MTL,MTL,9
200110040OTT,MTL,OTT,10
200112100MTL,MTL,MIN,6
200110200MTL,BUF,MTL,1
200203060MTL,MTL,BOS,8
200201230WSH,MTL,WSH,0
200111220ATL,MTL,ATL,3
200203160MTL,MTL,CAR,5
200204130MTL,BUF,MTL,0
200111130BOS,BOS,MTL,3
200111240MTL,MTL,WSH,2
200203300MTL,MTL,PIT,5
200112030MTL,CHI,MTL,0
200112260BUF,BUF,MTL,6
200110130MTL,MTL,NJD,0
200204090MTL,MTL,OTT,3
200201270MTL,MTL,SJS,1
200204120NJD,NJD,MTL,0
200112170MTL,TBL,MTL,2
200112200BOS,BOS,MTL,2
200111080MTL,MTL,NSH,0
200201030VAN,VAN,MTL,2
200112290NYI,NYI,MTL,4
200112220MTL,MTL,LAK,0
200111060MTL,COL,COL,0
200201160MTL,MTL,WSH,0
200112130PHI,MTL,PHI,5
200110260BUF,MTL,BUF,4
200112190PIT,MTL,PIT,1
200110120CBJ,MTL,CBJ,0
200201260MTL,OTT,OTT,2
200203140MTL,DAL,DAL,0
200112120ATL,MTL,MTL,9
200203040MTL,MTL,ATL,2
200202270CHI,MTL,CHI,1
200201120TOR,MTL,MTL,0
200110190WSH,WSH,MTL,2
200201210FLA,FLA,MTL,3
200112050MTL,NJD,MTL,1
200110090MTL,MTL,MDA,9
200111200MTL,MTL,BOS,2
200201190TBL,MTL,TBL,1
200112150TOR,TOR,MTL,2
200110150MTL,NYR,MTL,0
200111100MTL,MTL,NYI,0
200203280MTL,MTL,TBL,3
200203020MTL,CAR,MTL,0
200111110NYR,NYR,MTL,4
200202090TOR,TOR,MTL,2
200202050NJD,MTL,NJD,0
200204010PIT,MTL,PIT,6
200201140MTL,PHI,MTL,0
200203090MTL,TOR,TOR,5
200203260MTL,FLA,MTL,2
200203200FLA,MTL,FLA,3
