game_id,winner,loser,num_penalties
200202130COL,COL,STL,1
200203260STL,MIN,STL,1
200111130CBJ,CBJ,STL,4
200112020MIN,STL,STL,4
200111030STL,STL,WSH,3
200201090MDA,STL,MDA,3
200110170STL,DAL,DAL,0
200202050NYI,NYI,STL,0
200110130TOR,STL,TOR,2
200110110STL,LAK,STL,4
200112080STL,STL,LAK,0
200202070STL,STL,EDM,12
200201080SJS,STL,SJS,2
200112180PHI,PHI,STL,0
200202260VAN,STL,STL,4
200204070STL,COL,STL,1
200203170MDA,STL,MDA,1
200202280CGY,CGY,STL,12
200110040CBJ,STL,STL,5
200112220FLA,STL,FLA,8
200202090STL,PHI,STL,4
200201300WSH,STL,WSH,4
200112060LAK,STL,STL,0
200201190STL,STL,BOS,3
200204050STL,STL,CHI,8
200111150VAN,VAN,STL,3
200203070STL,MIN,STL,0
200201170STL,STL,VAN,1
200112280STL,STL,MTL,1
200201250CHI,CHI,STL,7
200110270OTT,OTT,STL,1
200112210TBL,TBL,STL,0
200203130SJS,STL,SJS,5
200201150STL,STL,EDM,2
200110220STL,CGY,STL,4
200111230DET,DET,STL,1
200111270STL,STL,OTT,2
200203090STL,DET,STL,8
200112150STL,STL,CGY,5
200111290CBJ,STL,CBJ,1
200204130STL,STL,DET,2
200111170CGY,CGY,STL,8
200111010STL,STL,CAR,1
200203280STL,STL,BUF,8
200111080STL,STL,VAN,6
200201010NJD,NJD,STL,0
200203200DAL,DAL,STL,3
200112260STL,CHI,STL,0
200203140LAK,LAK,STL,1
200202120STL,STL,ATL,6
200201210BOS,STL,BOS,3
200111240STL,STL,PHX,2
200203110STL,COL,STL,2
200111100STL,STL,PHX,4
200201030STL,STL,CBJ,7
200110200STL,STL,PIT,2
200203240CHI,CHI,STL,0
200204140DET,STL,DET,3
200110060NSH,STL,STL,1
200112120CHI,STL,STL,1
200204030DAL,STL,DAL,5
200201260STL,DET,STL,1
200203300NSH,STL,NSH,2
200203020EDM,STL,STL,5
200201120PIT,STL,PIT,0
200201280STL,MDA,STL,1
200201050STL,STL,DAL,10
200112010STL,STL,CBJ,1
200110310COL,STL,COL,4
200203220STL,STL,MDA,7
200112300STL,STL,NSH,1
200203190STL,STL,NSH,5
200111200EDM,EDM,STL,0
200201230BUF,STL,BUF,8
200111060STL,SJS,STL,5
200110250STL,STL,NYR,6
200204110STL,STL,SJS,1
200204010PHX,PHX,STL,4
200204090STL,STL,NSH,0
200112050PHX,PHX,STL,0
200112130STL,TOR,STL,0
200110190MIN,STL,MIN,4
