game_id,winner,loser,num_penalties
200404270CGY,CGY,DET,3
200404240DET,DET,CGY,8
200405090SJS,CGY,SJS,2
200405170SJS,CGY,SJS,0
200405310CGY,TBL,CGY,0
200404170CGY,VAN,CGY,0
200404090VAN,CGY,VAN,0
200405190CGY,CGY,SJS,0
200404190VAN,CGY,VAN,1
200404130CGY,CGY,VAN,2
200406070TBL,TBL,CGY,0
200405160CGY,SJS,CGY,14
200405290CGY,CGY,TBL,2
200404220DET,CGY,DET,0
200406030TBL,CGY,TBL,1
200405030CGY,CGY,DET,0
200406050CGY,TBL,CGY,0
200404290CGY,DET,CGY,5
200404070VAN,VAN,CGY,1
200405010DET,CGY,DET,3
200405110SJS,CGY,SJS,2
200404150VAN,CGY,VAN,5
200405270TBL,TBL,CGY,10
200405250TBL,CGY,TBL,5
200405130CGY,SJS,CGY,7
200404110CGY,VAN,CGY,5
