game_id,winner,loser,num_penalties
200312260NJD,NYI,NJD,6
200311220CBJ,CBJ,NYI,2
200311150NSH,NSH,NYI,7
200312130NYI,NYI,ATL,4
200311130NYI,NYI,MTL,1
200312100NJD,NJD,NYI,1
200402210NYI,NYI,BUF,0
200311110PHI,PHI,NYI,4
200404020CAR,NYI,CAR,1
200310180NYI,NYI,FLA,3
200401290BOS,BOS,NYI,3
200312230NYI,NYI,PHI,1
200311280DET,DET,NYI,7
200401240ATL,NYI,ATL,2
200310290PIT,NYI,NYI,1
200403280NJD,NJD,NYI,3
200402180NYI,NYI,PIT,3
200310110BUF,NYI,BUF,8
200312290NYI,NYI,NJD,0
200404040NYI,PHI,PHI,0
200401130NYR,NYR,NYI,9
200403270NYI,CAR,NYI,2
200312040NYI,NYR,NYI,4
200312210WSH,NYI,WSH,0
200312060NYI,NYI,CHI,0
200401150OTT,NYI,NYI,5
200403190NYI,NYI,MIN,0
200403250PHI,NYI,PHI,0
200311030NYI,NYI,OTT,0
200310140ATL,NYI,NYI,0
200312160NYI,NYI,NJD,0
200401230CAR,NYI,CAR,0
200311190FLA,NYI,FLA,2
200401010OTT,OTT,NYI,2
200312090NYI,NYI,TBL,2
200401170NYI,NYI,BUF,2
200402260NYI,NYR,NYI,7
200401030BOS,NYI,NYI,4
200402030NYI,NYI,VAN,0
200312180NYR,NYR,NYI,1
200401200TOR,TOR,NYI,0
200401060NYI,CGY,NYI,0
200403210NYI,NYI,TBL,0
200402270BUF,NYI,BUF,4
200312200PHI,PHI,NYI,0
200403230NYI,NYI,WSH,0
200401080NYI,NYI,EDM,0
200402130PHX,NYI,PHX,2
200402110DAL,NYI,NYI,4
200403110SJS,SJS,NYI,0
200403090STL,STL,NYI,1
200403120MDA,NYI,MDA,5
200403170FLA,FLA,NYI,3
200311060NYI,NYI,DAL,0
200402290NYI,PIT,NYI,2
200402050MTL,MTL,NYI,0
200402240NYI,BOS,BOS,1
200402190NYR,NYR,NYI,17
200311260NYI,CAR,NYI,0
200312310PIT,NYI,PIT,0
200310200NYI,NYI,TOR,4
200311010NYI,NYI,MDA,1
200401310NYI,NYI,FLA,1
200311080NYI,ATL,NYI,3
200310250NYI,NYI,PIT,11
200403160TBL,NYI,TBL,0
200401270NYI,BOS,BOS,0
200401100NYI,NYR,NYI,1
200310280NYI,NJD,NYI,3
200310090WSH,WSH,NYI,8
200403040TOR,TOR,NYI,6
200403020PIT,NYI,NYI,0
200312270NYI,NYI,TOR,3
200403310NYI,NYI,MTL,6
200311200TBL,TBL,NYI,0
200311290NYI,PHI,NYI,5
200310230MTL,MTL,NYI,0
200402100COL,NYI,NYI,0
200403060NYI,STL,NYI,2
200402160NYI,LAK,LAK,0
200401190NYI,NYI,OTT,1
200312020NYI,WSH,NYI,4
