game_id,winner,loser,num_penalties
200405130PHI,TBL,PHI,1
200404230TBL,TBL,MTL,3
200405310CGY,TBL,CGY,0
200404250TBL,TBL,MTL,3
200404270MTL,TBL,MTL,10
200404140NYI,TBL,NYI,0
200406070TBL,TBL,CGY,0
200405290CGY,CGY,TBL,2
200404100TBL,NYI,TBL,1
200404160TBL,TBL,NYI,3
200406030TBL,CGY,TBL,1
200404290MTL,TBL,MTL,6
200406050CGY,TBL,CGY,0
200405220TBL,TBL,PHI,2
200404120NYI,TBL,NYI,3
200405150PHI,PHI,TBL,0
200404080TBL,TBL,NYI,2
200405080TBL,TBL,PHI,1
200405270TBL,TBL,CGY,10
200405200PHI,PHI,TBL,2
200405180TBL,TBL,PHI,8
200405250TBL,CGY,TBL,5
200405100TBL,PHI,TBL,14
