game_id,winner,loser,num_penalties
200606170EDM,EDM,CAR,4
200606120EDM,CAR,EDM,1
200605300BUF,BUF,CAR,1
200605140CAR,CAR,NJD,0
200604280MTL,CAR,MTL,0
200605220CAR,CAR,BUF,2
200606140CAR,EDM,CAR,0
200606070CAR,CAR,EDM,2
200606050CAR,CAR,EDM,1
200605020MTL,CAR,MTL,1
200605060CAR,CAR,NJD,6
200605130NJD,NJD,CAR,1
200605280CAR,CAR,BUF,0
200606100EDM,EDM,CAR,0
200604260MTL,CAR,MTL,0
200606190CAR,CAR,EDM,3
200605260BUF,CAR,BUF,0
200605240BUF,BUF,CAR,3
200605200CAR,BUF,CAR,1
200604240CAR,MTL,CAR,5
200604220CAR,MTL,CAR,3
200605100NJD,CAR,NJD,2
200606010CAR,CAR,BUF,1
200605080CAR,CAR,NJD,2
200604300CAR,CAR,MTL,0
