game_id,winner,loser,num_penalties
200605230EDM,EDM,MDA,0
200605270MDA,EDM,MDA,0
200605210MDA,EDM,MDA,0
200606170EDM,EDM,CAR,4
200605120EDM,EDM,SJS,1
200606120EDM,CAR,EDM,1
200605100EDM,EDM,SJS,0
200606140CAR,EDM,CAR,0
200606070CAR,CAR,EDM,2
200604210DET,DET,EDM,6
200606050CAR,CAR,EDM,1
200604250EDM,EDM,DET,0
200606100EDM,EDM,CAR,0
200604230DET,EDM,DET,1
200604270EDM,DET,EDM,0
200606190CAR,CAR,EDM,3
200605010EDM,EDM,DET,1
200605170EDM,EDM,SJS,1
200604290DET,EDM,DET,0
200605250EDM,MDA,EDM,0
200605190MDA,EDM,MDA,0
200605140SJS,EDM,SJS,3
200605070SJS,SJS,EDM,0
200605080SJS,SJS,EDM,1
