game_id,winner,loser,num_penalties
200604030NSH,CBJ,NSH,1
200602010DAL,DAL,NSH,0
200602110NSH,NSH,CBJ,4
200601080CHI,NSH,CHI,0
200604010NSH,NSH,STL,8
200512130FLA,FLA,NSH,0
200601190NSH,NJD,NSH,1
200511230CBJ,NSH,CBJ,0
200601280CBJ,CBJ,NSH,0
200604080NSH,NSH,CHI,4
200601100NSH,NSH,NYI,0
200511240NSH,NSH,LAK,4
200510200NSH,NSH,STL,0
200511260NSH,DAL,NSH,2
200602020NSH,NSH,COL,2
200510120COL,NSH,COL,1
200512070WSH,NSH,WSH,0
200602080DET,DET,NSH,0
200603070CGY,NSH,CGY,0
200604050CHI,CHI,NSH,4
200511080NSH,NSH,EDM,5
200512210CHI,NSH,CHI,5
200512300EDM,EDM,NSH,1
200510080NSH,NSH,MDA,0
200602040NSH,NSH,CHI,0
200602090NSH,DET,NSH,4
200601110ATL,ATL,NSH,1
200512270CGY,NSH,CGY,7
200601130CAR,CAR,NSH,3
200601230DET,NSH,DET,1
200601240DET,NSH,DET,1
200511020SJS,SJS,NSH,2
200604150NSH,NSH,PHX,6
200601210NSH,NSH,CBJ,2
200510290NSH,EDM,NSH,0
200510150STL,NSH,STL,2
200512080NSH,NYR,NSH,0
200512280VAN,VAN,NSH,2
200511150NSH,NSH,LAK,0
200511120NSH,NSH,STL,2
200601150NSH,NSH,PIT,3
200512150NSH,NSH,CHI,0
200511050LAK,LAK,NSH,0
200603250LAK,LAK,NSH,4
200510130PHX,NSH,PHX,0
200512230CBJ,NSH,CBJ,4
200603200NSH,NSH,STL,3
200510250NSH,NSH,CHI,16
200511290NSH,NSH,CGY,0
200510220NSH,NSH,SJS,0
200601040STL,NSH,STL,2
200512100TBL,TBL,NSH,0
200510050NSH,NSH,SJS,0
200601030COL,COL,NSH,0
200603090VAN,NSH,VAN,2
200511100NSH,NSH,DAL,0
200604110STL,NSH,STL,0
200512200NSH,NSH,COL,0
200510260CBJ,CBJ,NSH,2
200603180NSH,NSH,CGY,4
200604180NSH,NSH,DET,5
200601010NSH,MDA,NSH,0
200603140NSH,NSH,VAN,3
200512030NSH,NSH,PHI,0
200601060NSH,DET,NSH,0
200604130NSH,NSH,MIN,0
200511190MIN,MIN,NSH,3
200602060DAL,DAL,NSH,5
200604060STL,NSH,STL,2
200603210DET,NSH,DET,0
200603020NSH,NSH,VAN,0
200601260MIN,MIN,NSH,0
200603050EDM,EDM,NSH,1
200603240MDA,MDA,NSH,0
200603300NSH,DET,NSH,3
200603010CHI,CHI,NSH,1
200603110SJS,SJS,NSH,6
200603160NSH,NSH,PHX,1
200603280PHX,PHX,NSH,0
200511010MDA,MDA,NSH,0
200512010NSH,NSH,MIN,4
200512170NSH,NSH,CBJ,0
