game_id,winner,loser,num_penalties
200511180PHI,ATL,PHI,1
200603040NYI,NYI,PHI,0
200604020NYI,PHI,NYI,3
200603250PHI,PHI,OTT,5
200511120PHI,PHI,FLA,0
200512190PHI,BUF,PHI,4
200603020PHI,NYR,PHI,4
200510270PHI,PHI,FLA,1
200511050PHI,PHI,ATL,1
200601110CHI,PHI,CHI,1
200511290NYI,PHI,NYI,1
200510250MTL,MTL,PHI,2
200602080PHI,PHI,NYI,0
200511080PHI,PHI,BOS,0
200603060PHI,PHI,MTL,1
200604150PHI,PHI,NYR,5
200601120DET,DET,PHI,1
200511300PHI,PHI,NJD,0
200601280PHI,TBL,PHI,1
200602110OTT,OTT,PHI,0
200512150PHI,VAN,PHI,0
200602050MTL,MTL,PHI,0
200602100PHI,PHI,WSH,8
200512280ATL,PHI,ATL,2
200512230PIT,PHI,PIT,4
200603170TBL,TBL,PHI,3
200603120PIT,PIT,PHI,3
200603280PHI,TOR,PHI,0
200603010NJD,NJD,PHI,0
200604110PHI,PHI,PIT,2
200510070PHI,PHI,NJD,0
200601190PHI,BOS,PHI,2
200604130NJD,NJD,PHI,0
200601050NYR,PHI,NYR,3
200601090NJD,NJD,PHI,0
200604180NYI,PHI,NYI,1
200602040PHI,NYR,PHI,6
200511100PHI,PHI,NYI,4
200604160NJD,NJD,PHI,2
200510280CAR,CAR,PHI,5
200512170STL,PHI,STL,0
200603150FLA,PHI,FLA,3
200511220PHI,TBL,PHI,0
200512220PHI,PHI,OTT,0
200510300OTT,PHI,OTT,1
200604040NYR,NYR,PHI,2
200601210PIT,PHI,PIT,4
200603180ATL,PHI,ATL,0
200604010PHI,NJD,PHI,1
200512100PHI,PHI,MIN,0
200603080PHI,PHI,CAR,0
200601020BOS,PHI,BOS,0
200512310WSH,WSH,PHI,1
200601170PHI,CAR,PHI,0
200512030NSH,NSH,PHI,0
200603210PHI,PHI,NJD,0
200510220TOR,PHI,TOR,0
200602020BUF,BUF,PHI,0
200511140TBL,TBL,PHI,0
200512290CAR,PHI,CAR,0
200510150PHI,PHI,NYI,3
200601230PHI,PHI,PIT,2
200603220NYR,PHI,NYR,0
200601060WSH,PHI,WSH,0
200601140PHI,COL,PHI,0
200601300NYR,PHI,NYR,0
200511190PIT,PHI,PIT,0
200512260FLA,PHI,FLA,0
200604080PHI,TOR,PHI,2
200511160PHI,PIT,PHI,1
200511250BOS,PHI,BOS,0
200512130CBJ,PHI,CBJ,0
200604070BUF,PHI,BUF,0
200512060PHI,PHI,CGY,2
200510110TOR,TOR,PHI,1
200510050PHI,NYR,PHI,0
200511030PHI,PHI,WSH,0
200601250PHI,MTL,PHI,0
200511260PHI,NYI,PHI,2
200510140PHI,PHI,PIT,1
200512080PHI,EDM,PHI,0
200603110PHI,BUF,PHI,0
