game_id,winner,loser,num_penalties
200612310MIN,MIN,ANA,0
200610200ANA,ANA,MIN,0
200701180EDM,EDM,ANA,4
200612180ANA,ANA,CGY,4
200610270MIN,MIN,ANA,4
200611120ANA,ANA,MIN,0
200611150ANA,PHI,ANA,2
200611240ANA,ANA,NJD,2
200701160ANA,STL,ANA,5
200610090ANA,ANA,STL,0
200611220COL,COL,ANA,0
200702180ANA,LAK,ANA,0
200703020ANA,ANA,SJS,3
200612080WSH,ANA,WSH,6
200701110DAL,ANA,DAL,5
200611190ANA,ANA,PHX,0
200612260SJS,ANA,SJS,3
200701190CGY,CGY,ANA,8
200702150PHX,ANA,PHX,4
200703310STL,ANA,STL,2
200704070CBJ,ANA,CBJ,5
200703220PHX,PHX,ANA,1
200610070PHX,ANA,PHX,6
200702130COL,COL,ANA,0
200610300STL,ANA,STL,6
200612160SJS,SJS,ANA,4
200612290CAR,CAR,ANA,0
200704040ANA,SJS,ANA,4
200704060DAL,DAL,ANA,1
200702230DAL,DAL,ANA,3
200610180ANA,ANA,DET,7
200611010ANA,NYR,ANA,3
200611100CGY,CGY,ANA,5
200703090ANA,ANA,EDM,7
200611210ANA,ANA,SJS,2
200612230PHX,PHX,ANA,0
200702260SJS,ANA,SJS,0
200701310ANA,ANA,PHX,0
200701130ANA,COL,ANA,1
200610220LAK,ANA,LAK,2
200611280EDM,ANA,EDM,4
200703140ANA,CBJ,ANA,1
200703180ANA,LAK,ANA,2
200702060SJS,ANA,SJS,5
200703280CHI,ANA,CHI,4
200611090VAN,ANA,VAN,2
200703110ANA,ANA,VAN,10
200703230ANA,ANA,DAL,0
200610280CHI,ANA,CHI,5
200612020LAK,ANA,LAK,4
200610150ANA,DAL,ANA,4
200611300VAN,ANA,VAN,0
200612200ANA,ANA,DAL,4
200701020DET,DET,ANA,0
200612130ATL,ANA,ATL,2
200703070ANA,ANA,PHX,0
200702070ANA,SJS,ANA,4
200702030NSH,NSH,ANA,6
200702200ANA,VAN,ANA,0
200611060ANA,ANA,PIT,2
200703160ANA,ANA,CHI,12
200702100DAL,DAL,ANA,2
200611260ANA,ANA,CGY,4
200701280ANA,ANA,DAL,12
200612030ANA,LAK,ANA,1
200701090NSH,NSH,ANA,4
200612090TBL,ANA,TBL,2
200610060ANA,ANA,LAK,2
200611030ANA,ANA,PHX,1
200703040ANA,ANA,NSH,4
200612060ANA,ANA,NSH,2
200610110ANA,NYI,ANA,0
200703290CBJ,ANA,CBJ,5
200612120FLA,ANA,FLA,0
200701070ANA,ANA,DET,0
200703010LAK,LAK,ANA,2
200611170ANA,CHI,ANA,5
200703260DET,DET,ANA,4
200701050ANA,CBJ,ANA,3
200702170LAK,ANA,LAK,5
200610250ANA,ANA,EDM,2
200702250ANA,ANA,COL,0
