game_id,winner,loser,num_penalties
200704190ANA,ANA,MIN,0
200704270ANA,VAN,ANA,0
200705170ANA,ANA,DET,0
200705200DET,ANA,DET,0
200705150ANA,DET,ANA,0
200705220ANA,ANA,DET,0
200705280ANA,ANA,OTT,0
200704250ANA,ANA,VAN,0
200704290VAN,ANA,VAN,0
200704170MIN,MIN,ANA,0
200705010VAN,ANA,VAN,0
200706060ANA,ANA,OTT,0
200704130ANA,ANA,MIN,0
200706020OTT,OTT,ANA,0
200705300ANA,ANA,OTT,0
200705030ANA,ANA,VAN,0
200704150MIN,ANA,MIN,0
200706040OTT,ANA,OTT,0
200705130DET,ANA,DET,0
200704110ANA,ANA,MIN,0
200705110DET,DET,ANA,0
