game_id,winner,loser,num_penalties
200703020NJD,TOR,NJD,1
200612120NJD,BUF,NJD,0
200701020NJD,NYR,NJD,2
200611180TOR,NJD,TOR,3
200612140BOS,BOS,NJD,2
200703280BUF,BUF,NJD,1
200611090NJD,NJD,CHI,0
200702080NJD,NJD,NYI,2
200701260TBL,NJD,TBL,1
200611240ANA,ANA,NJD,2
200612080NJD,NJD,PHI,4
200612160NJD,DET,NJD,0
200702270PIT,NJD,PIT,4
200612170NYR,NJD,NYR,3
200702140NJD,NJD,MTL,2
200702250WSH,NJD,WSH,2
200704010NJD,NJD,BOS,0
200611140NYR,NYR,NJD,4
200703040NJD,BOS,NJD,0
200703100BUF,NJD,BUF,2
200701040NJD,NJD,NYI,0
200701070MTL,NJD,MTL,0
200703060PHI,PHI,NJD,0
200610160NYR,NYR,NJD,0
200702010PHI,NJD,PHI,4
200702220NYR,NJD,NYR,2
200701270FLA,FLA,NJD,0
200612230ATL,ATL,NJD,0
200612190NJD,ATL,NJD,1
200704050PHI,NJD,PHI,2
200610260NJD,NJD,FLA,5
200701120NJD,NJD,ATL,2
200611110NJD,NJD,FLA,6
200704030NJD,NJD,OTT,2
200611170NJD,NJD,OTT,2
200611070NJD,NJD,CAR,0
200612290NJD,NJD,WSH,1
200612010NJD,NJD,PIT,0
200703240FLA,NJD,FLA,0
200702030NJD,NJD,BUF,0
200610120NJD,NJD,TOR,0
200610060CAR,NJD,CAR,3
200702060NJD,NJD,NYR,0
200611220PHX,PHX,NJD,1
200611270LAK,LAK,NJD,0
200610190NJD,NSH,NJD,0
200703140NJD,PIT,NJD,4
200610210OTT,OTT,NJD,6
200612220WSH,NJD,WSH,1
200703170NJD,CAR,NJD,5
200612020PHI,NJD,PHI,2
200701200NJD,NJD,PHI,3
200612260NJD,NJD,PIT,4
200701130NYI,NJD,NYI,2
200701180NJD,TBL,NJD,0
200701300ATL,ATL,NJD,3
200702200NJD,NJD,NYR,4
200701100NJD,STL,NJD,2
200612090BOS,NJD,BOS,3
200702110NJD,TBL,NJD,1
200703080PIT,NJD,PIT,0
200701060OTT,NJD,OTT,0
200611040MTL,NJD,MTL,0
200610180PIT,NJD,PIT,0
200610240PIT,PIT,NJD,1
200703150CAR,NJD,CAR,0
200703220TBL,TBL,NJD,0
200610140NJD,NJD,PHI,2
200701160NJD,NJD,NYR,0
200611250SJS,SJS,NJD,0
200702240NJD,WSH,NJD,2
200610280NJD,NJD,CBJ,2
200703200TOR,TOR,NJD,2
200703300NJD,NJD,PHI,2
200702160NJD,PIT,NJD,1
200702170NYI,NJD,NYI,8
200611020NJD,NYI,NJD,2
200612060NJD,NJD,MTL,0
200612300NYI,NJD,NYI,3
200610070DAL,DAL,NJD,2
200703270NYI,NJD,NYI,0
200704080NJD,NYI,NJD,0
