game_id,winner,loser,num_penalties
200710100DET,DET,CGY,0
200803070CGY,NSH,CGY,2
200802190PHX,CGY,PHX,7
200711050COL,COL,CGY,2
200710160COL,COL,CGY,2
200801080CGY,PHX,CGY,0
200801220CGY,CGY,MIN,3
200803200CGY,CGY,COL,2
200803120WSH,WSH,CGY,2
200804010EDM,CGY,EDM,0
200710300CGY,CGY,NSH,0
200712270VAN,VAN,CGY,5
200711100CGY,EDM,CGY,3
200710130NSH,CGY,NSH,2
200710120DAL,CGY,DAL,0
200711250STL,STL,CGY,4
200803010PHX,CGY,PHX,0
200802090CGY,CGY,EDM,10
200801160MIN,CGY,MIN,3
200801180CGY,CGY,LAK,2
200712310CGY,CGY,VAN,2
200711080CGY,VAN,CGY,3
200710060CGY,VAN,CGY,1
200712040CGY,CGY,STL,2
200802040EDM,EDM,CGY,9
200803240COL,COL,CGY,3
200712230CGY,NJD,CGY,2
200803130ATL,ATL,CGY,2
200711220CGY,CHI,CGY,0
200803220CGY,CGY,MIN,6
200710220CGY,SJS,CGY,4
200803180CBJ,CBJ,CGY,13
200712060CGY,PIT,CGY,3
200712160STL,CGY,STL,7
200711170EDM,CGY,EDM,0
200802240MIN,CGY,MIN,0
200710040CGY,PHI,CGY,2
200712130TBL,CGY,TBL,3
200711010CGY,DET,CGY,0
200801130EDM,EDM,CGY,0
200712090CHI,CGY,CHI,1
200802070CGY,CHI,CGY,6
200803290CGY,EDM,CGY,2
200804050VAN,CGY,VAN,0
200711180VAN,VAN,CGY,0
200801030SJS,CGY,SJS,0
200711130CGY,CGY,MIN,1
200712290CGY,CGY,ANA,8
200804030MIN,MIN,CGY,2
200712140CAR,CGY,CAR,1
200802220CGY,CGY,DET,0
200803300VAN,VAN,CGY,5
200802260CGY,COL,CGY,4
200712210CGY,DAL,CGY,2
200802170ANA,ANA,CGY,10
200803250CGY,CGY,VAN,3
200712180CBJ,CGY,CBJ,4
200803100CGY,CGY,STL,1
200710260CGY,COL,CGY,0
200801300CGY,CGY,SJS,6
200803040CGY,CGY,CBJ,0
200802050CGY,CGY,PHX,4
200801150NSH,NSH,CGY,0
200802120SJS,CGY,SJS,0
200712110FLA,CGY,FLA,2
200801020CGY,CGY,NYR,0
200710180CGY,CGY,LAK,5
200710200CGY,CGY,EDM,6
200802200DAL,CGY,DAL,3
200710240CGY,CGY,MIN,4
200711240COL,CGY,COL,2
200802150LAK,LAK,CGY,2
200802020CGY,DAL,CGY,1
200711270DET,DET,CGY,3
200802290ANA,ANA,CGY,6
200711200CGY,CGY,COL,2
200712010CGY,CBJ,CGY,2
200803160CHI,CGY,CHI,2
200801050LAK,CGY,LAK,1
200801110CGY,NYI,CGY,0
200711290CGY,ANA,CGY,4
200711030MIN,MIN,CGY,5
