game_id,winner,loser,num_penalties
200812060DET,DET,CHI,0
200903100DET,DET,PHX,0
200902020DET,DET,STL,0
200811020VAN,DET,VAN,3
200811110DET,PIT,DET,0
200904050DET,DET,MIN,0
200810220STL,DET,STL,3
200904120CHI,CHI,DET,1
200901140ANA,DET,ANA,0
200812120DAL,DAL,DET,1
200902250DET,DET,SJS,1
200901290DET,DAL,DET,2
200901310WSH,WSH,DET,0
200904060BUF,DET,BUF,4
200902040DET,DET,PHX,1
200811260DET,MTL,DET,1
200810290ANA,ANA,DET,6
200901120DAL,DAL,DET,0
200903290DET,NSH,DET,0
200901010CHI,DET,CHI,2
200901030MIN,DET,MIN,0
200811240VAN,VAN,DET,2
200811130TBL,DET,TBL,0
200810110OTT,DET,OTT,1
200901270CBJ,CBJ,DET,2
200902070DET,DET,EDM,1
200903070DET,CBJ,DET,0
200810270LAK,DET,LAK,3
200812230DET,DET,STL,2
200904020DET,STL,DET,0
200901150LAK,DET,LAK,4
200812180DET,DET,SJS,1
200902280NSH,NSH,DET,2
200903200ATL,DET,ATL,4
200811170DET,DET,EDM,2
200902080PIT,DET,PIT,0
200903040COL,DET,COL,0
200810300SJS,SJS,DET,3
200812270COL,COL,DET,0
200902180DET,DET,NSH,2
200810180DET,DET,NYR,1
200901080DET,DET,DAL,0
200901060DET,DET,CBJ,2
200903230CGY,CGY,DET,1
200902210MIN,MIN,DET,0
200902200DET,DET,ANA,0
200811280DET,DET,CBJ,2
200812100DET,DET,CGY,0
200811080DET,DET,NJD,2
200810240DET,DET,ATL,1
200810090DET,TOR,DET,0
200810130CAR,DET,CAR,1
200812010DET,DET,ANA,0
200902150DET,COL,DET,0
200902130CBJ,CBJ,DET,3
200902270DET,DET,LAK,0
200903120DET,CGY,DET,2
200812130PHX,DET,PHX,2
200812260NSH,NSH,DET,0
200811200EDM,DET,EDM,3
200904110DET,CHI,DET,0
200811220CGY,DET,CGY,1
200810250CHI,DET,CHI,0
200903030STL,DET,STL,4
200903270DET,NYI,DET,0
200810160DET,VAN,DET,3
200812300DET,DET,CHI,0
200904090DET,NSH,DET,1
200812150DET,COL,DET,2
200812200DET,DET,LAK,0
200902100NSH,DET,NSH,0
200903150CBJ,DET,CBJ,0
200903240EDM,DET,EDM,1
200811290BOS,BOS,DET,3
200902120DET,DET,MIN,0
200812040DET,DET,VAN,3
200901100DET,DET,BUF,0
200901170SJS,SJS,DET,4
200901200PHX,PHX,DET,0
200811140FLA,DET,FLA,1
200903140STL,DET,STL,2
200903170DET,DET,PHI,3
