game_id,winner,loser,num_penalties
200810170NYR,NYR,TOR,3
200812030NYR,NYR,PIT,2
200811240NYR,NYR,PHX,2
200810250NYR,NYR,PIT,0
200903080NYR,NYR,BOS,4
200810270NYI,NYR,NYI,3
200902260NYR,FLA,NYR,0
200811060NYR,NYR,TBL,4
200810150NYR,BUF,NYR,3
200901130NYI,NYR,NYI,0
200901270NYR,NYR,CAR,2
200812230NYR,WSH,NYR,0
200902130FLA,FLA,NYR,4
200901200NYR,NYR,ANA,7
200810040TBL,NYR,TBL,0
200903090CAR,CAR,NYR,0
200811010TOR,TOR,NYR,0
200902210BUF,BUF,NYR,2
200902110NYR,NYR,WSH,4
200904120PHI,NYR,PHI,2
200901070NYR,MTL,NYR,2
200903260ATL,ATL,NYR,3
200902250TOR,TOR,NYR,2
200902060DAL,NYR,DAL,2
200811150NYR,NYR,BOS,2
200902280NYR,NYR,COL,8
200901050NYR,NYR,PIT,6
200811170NYR,NYR,OTT,1
200903120NSH,NYR,NSH,0
200903240NYR,NYR,MIN,6
200812070NYR,CGY,NYR,0
200901160CHI,NYR,CHI,2
200903050NYI,NYR,NYI,2
200811260TBL,NYR,TBL,6
200810110PHI,NYR,PHI,8
200810240CBJ,NYR,CBJ,2
200811040NYR,NYI,NYR,3
200811280FLA,NYR,FLA,3
200903170MTL,NYR,MTL,0
200810180DET,DET,NYR,1
200812040MTL,MTL,NYR,5
200904070NYR,NYR,MTL,0
200811300NYR,FLA,NYR,3
200903140PHI,PHI,NYR,2
200812130NYR,NYR,CAR,1
200901280PIT,PIT,NYR,4
200811080WSH,WSH,NYR,0
200812290NYR,NYR,NYI,4
200901180PIT,PIT,NYR,2
200812100ATL,NYR,ATL,2
200812200SJS,SJS,NYR,1
200812160ANA,NYR,ANA,3
200902030NYR,ATL,NYR,2
200810130NYR,NYR,NJD,4
200810100NYR,NYR,CHI,4
200811120NJD,NYR,NJD,6
200901090BUF,BUF,NYR,0
200902150NYR,PHI,NYR,4
200903150NYR,NYR,PHI,2
200810300NYR,NYR,ATL,3
200810200NYR,DAL,NYR,1
200901100OTT,NYR,OTT,2
200812270NYR,NJD,NYR,0
200902220NYR,TOR,NYR,4
200811100NYR,EDM,NYR,4
200904020CAR,CAR,NYR,2
200903210NYR,NYR,BUF,2
200904090NYR,NYR,PHI,0
200811220OTT,OTT,NYR,2
200812120NJD,NJD,NYR,10
200902160STL,STL,NYR,4
200903300NYR,NYR,NJD,10
200811190NYR,VAN,NYR,0
200903220NYR,OTT,NYR,1
200810050NYR,NYR,TBL,4
200903280PIT,PIT,NYR,4
200812170LAK,NYR,LAK,0
200902090NJD,NJD,NYR,7
200902180NYR,NYR,NYI,4
200901310BOS,BOS,NYR,0
200901030WSH,WSH,NYR,5
200904040BOS,BOS,NYR,4
