game_id,winner,loser,num_penalties
200911280NSH,NSH,FLA,4
200912180FLA,FLA,CAR,0
201003130SJS,FLA,SJS,4
201003160FLA,WSH,FLA,2
201004100TBL,TBL,FLA,2
200910300DAL,FLA,DAL,0
201001140TBL,FLA,TBL,2
201003230TOR,FLA,TOR,3
200912190CAR,CAR,FLA,3
200912140NYI,FLA,NYI,0
200912020FLA,FLA,COL,4
201001030FLA,FLA,PIT,0
200911230FLA,PIT,FLA,2
200911250FLA,NYR,FLA,4
200912070FLA,EDM,FLA,1
200912090CBJ,CBJ,FLA,0
200910030FLA,CHI,FLA,0
200910310STL,FLA,STL,1
201001290WSH,WSH,FLA,3
201004030FLA,NYR,FLA,3
201003210FLA,FLA,TBL,4
200911200DET,FLA,DET,0
200911270FLA,TOR,FLA,2
201003110COL,COL,FLA,3
200911040FLA,FLA,CAR,4
201002050FLA,CGY,FLA,2
201002110FLA,VAN,FLA,2
201004010BOS,FLA,BOS,0
200911140FLA,FLA,NYI,0
200910090CAR,CAR,FLA,2
201001210NYI,NYI,FLA,0
201003030FLA,FLA,PHI,11
201001130FLA,WSH,FLA,2
201003180FLA,PHX,FLA,0
201003020ATL,ATL,FLA,2
200911070WSH,WSH,FLA,2
200910240PHI,PHI,FLA,1
201003270OTT,OTT,FLA,4
200910120TBL,TBL,FLA,0
200911300ATL,ATL,FLA,0
201001050TOR,TOR,FLA,0
200912030WSH,WSH,FLA,1
200911160FLA,LAK,FLA,4
201003200FLA,BUF,FLA,1
200912050FLA,ATL,FLA,4
201003250MTL,MTL,FLA,0
200910280FLA,OTT,FLA,2
201001310FLA,FLA,NYI,3
200912270FLA,BOS,FLA,0
201002130FLA,BOS,FLA,2
201004110FLA,TBL,FLA,2
201001090OTT,FLA,OTT,3
201001200NJD,NJD,FLA,0
201003310BUF,BUF,FLA,0
201003290FLA,NSH,FLA,2
200911060FLA,WSH,FLA,1
201004060FLA,OTT,FLA,2
200911210NYR,FLA,NYR,0
201001260FLA,FLA,MTL,2
200910020CHI,FLA,CHI,0
200910160FLA,FLA,PHI,4
201001180FLA,FLA,ATL,0
201001230FLA,FLA,TOR,1
200912110NJD,FLA,NJD,0
200912310FLA,MTL,FLA,2
200912230NYR,NYR,FLA,4
200911120BOS,FLA,BOS,2
201002060ATL,ATL,FLA,5
201001070MTL,MTL,FLA,1
201001160FLA,FLA,TBL,1
201002090CAR,CAR,FLA,4
200910230PIT,PIT,FLA,2
200910210FLA,BUF,FLA,2
200912120PIT,PIT,FLA,0
201003060FLA,FLA,CAR,5
200912210PHI,FLA,PHI,9
201002010FLA,ANA,FLA,0
200912160FLA,FLA,ATL,0
201004080FLA,FLA,NJD,2
200911180BUF,FLA,BUF,0
201003090MIN,FLA,MIN,1
200910100FLA,NJD,FLA,0
