game_id,winner,loser,num_penalties
201104270BOS,BOS,MTL,0
201106150VAN,BOS,VAN,0
201105190TBL,BOS,TBL,2
201105060BOS,BOS,PHI,2
201106130BOS,BOS,VAN,1
201105270BOS,BOS,TBL,0
201104140BOS,MTL,BOS,2
201105140BOS,TBL,BOS,2
201106080BOS,BOS,VAN,4
201105020PHI,BOS,PHI,2
201105210TBL,TBL,BOS,4
201106060BOS,BOS,VAN,5
201106010VAN,VAN,BOS,2
201104300PHI,BOS,PHI,0
201106040VAN,VAN,BOS,0
201104260MTL,MTL,BOS,0
201104180MTL,BOS,MTL,2
201105230BOS,BOS,TBL,0
201104160BOS,MTL,BOS,4
201104230BOS,BOS,MTL,2
201105040BOS,BOS,PHI,2
201104210MTL,BOS,MTL,0
201106100VAN,VAN,BOS,1
201105170BOS,BOS,TBL,4
201105250TBL,TBL,BOS,1
