game_id,winner,loser,num_penalties
201101220STL,CBJ,STL,8
201011200SJS,CBJ,SJS,2
201012300TOR,CBJ,TOR,0
201103190MIN,CBJ,MIN,4
201103220COL,COL,CBJ,0
201103200CBJ,NJD,CBJ,0
201011020CBJ,CBJ,MTL,0
201101040PHX,PHX,CBJ,3
201011190ANA,CBJ,ANA,5
201104030CBJ,STL,CBJ,4
201103170CBJ,DET,CBJ,6
201102040DET,CBJ,DET,0
201102080PIT,CBJ,PIT,8
201012180CBJ,DAL,CBJ,11
201103120CAR,CBJ,CAR,1
201103010VAN,VAN,CBJ,1
201101250CBJ,ANA,CBJ,3
201103240PHX,PHX,CBJ,4
201012270CBJ,CBJ,MIN,8
201012310CBJ,CBJ,OTT,4
201010080CBJ,SJS,CBJ,4
201103090CBJ,STL,CBJ,0
201101080LAK,LAK,CBJ,0
201011260CBJ,DET,CBJ,0
201102130DAL,CBJ,DAL,0
201012160EDM,EDM,CBJ,4
201012230CBJ,VAN,CBJ,1
201012090STL,STL,CBJ,4
201103030EDM,EDM,CBJ,6
201012010CBJ,NSH,CBJ,0
201103070STL,STL,CBJ,6
201102250CBJ,CBJ,PHX,3
201010280CBJ,CBJ,EDM,0
201101180TBL,TBL,CBJ,1
201012130CGY,CGY,CBJ,0
201012260CHI,CHI,CBJ,2
201101150DET,DET,CBJ,0
201010230CHI,CBJ,CHI,0
201011100CBJ,CBJ,STL,11
201103040CGY,CGY,CBJ,0
201102110CBJ,CBJ,COL,6
201010090SJS,CBJ,SJS,1
201101110CBJ,PHX,CBJ,0
201103310WSH,WSH,CBJ,2
201102180CHI,CBJ,CHI,0
201101190FLA,CBJ,FLA,2
201101070ANA,ANA,CBJ,9
201102220CBJ,CBJ,NSH,3
201104010CBJ,CHI,CBJ,3
201103290CBJ,CBJ,FLA,0
201102010CBJ,CHI,CBJ,3
201010150CBJ,CHI,CBJ,0
201011040ATL,CBJ,ATL,0
201012030BUF,BUF,CBJ,11
201010220CBJ,CGY,CBJ,3
201011060CBJ,MIN,CBJ,2
201102090CBJ,SJS,CBJ,1
201101020NSH,NSH,CBJ,3
201103270CBJ,VAN,CBJ,1
201010160MIN,CBJ,MIN,2
201012040CBJ,PIT,CBJ,2
201101140CBJ,CBJ,DET,1
201103150CBJ,BOS,CBJ,0
201012210CBJ,CBJ,CGY,4
201104080NSH,NSH,CBJ,2
201011240NYI,CBJ,NYI,3
201104090CBJ,BUF,CBJ,1
201102160CBJ,LAK,CBJ,0
201102050CBJ,CBJ,EDM,0
201010200CBJ,CBJ,ANA,0
201102270NSH,NSH,CBJ,1
201103110CBJ,LAK,CBJ,2
201011120CBJ,COL,CBJ,0
201011280DET,DET,CBJ,1
201010250CBJ,CBJ,PHI,2
201104050DAL,DAL,CBJ,0
201012060CBJ,CBJ,DAL,0
201012150VAN,VAN,CBJ,0
201011170LAK,CBJ,LAK,0
201012110CBJ,CBJ,NYR,0
201011220CBJ,CBJ,NSH,0
201010300COL,COL,CBJ,8
