game_id,winner,loser,num_penalties
201202020BOS,CAR,BOS,1
201111270OTT,OTT,CAR,4
201202250CAR,FLA,CAR,3
201201120TBL,CAR,TBL,2
201110070CAR,TBL,CAR,1
201203180WPG,CAR,WPG,3
201112210CAR,PHX,CAR,0
201111160MTL,MTL,CAR,3
201112230CAR,CAR,OTT,0
201111200CAR,CAR,TOR,1
201110250CAR,OTT,CAR,0
201203210CAR,CAR,FLA,2
201203110FLA,FLA,CAR,0
201112010CAR,NYR,CAR,2
201201200CAR,CAR,WSH,2
201203010CAR,NYR,CAR,2
201201070NSH,NSH,CAR,0
201202170CAR,CAR,SJS,1
201111140CAR,PHI,CAR,3
201110210STL,STL,CAR,0
201204070FLA,FLA,CAR,0
201112260CAR,CAR,NJD,1
201201230CAR,CAR,WPG,0
201112180FLA,FLA,CAR,0
201112150CAR,CAR,VAN,6
201202280CAR,CAR,NSH,0
201110280CAR,CAR,CHI,2
201112090WPG,WPG,CAR,3
201202130MTL,CAR,MTL,2
201201170PIT,PIT,CAR,4
201111230CAR,MTL,CAR,0
201203170MIN,CAR,MIN,2
201111290CAR,FLA,CAR,0
201112030CAR,PIT,CAR,3
201203270TOR,CAR,TOR,0
201203100TBL,CAR,TBL,0
201110080WSH,WSH,CAR,0
201201140CAR,CAR,BOS,0
201110140BUF,CAR,BUF,2
201204050CAR,CAR,MTL,2
201110290PHI,PHI,CAR,0
201110100NJD,NJD,CAR,2
201112310TBL,TBL,CAR,2
201202080ANA,ANA,CAR,0
201203130NYR,NYR,CAR,0
201112070EDM,CAR,EDM,5
201202200CAR,CAR,WSH,6
201111210PHI,CAR,PHI,2
201201310CAR,NYI,CAR,0
201203150CAR,CAR,STL,0
201201210NYI,NYI,CAR,0
201201100CAR,PHI,CAR,1
201201060CAR,CAR,BUF,1
201110120CAR,CAR,BOS,0
201201030CAR,NYI,CAR,0
201202100COL,COL,CAR,0
201111040CAR,WSH,CAR,0
201203230CBJ,CBJ,CAR,0
201204030OTT,CAR,OTT,1
201112060CGY,CGY,CAR,0
201202040CAR,CAR,LAK,2
201203030CAR,TBL,CAR,1
201203060WSH,CAR,WSH,2
201111180CAR,BUF,CAR,0
201203070BUF,BUF,CAR,0
201111010CAR,CAR,TBL,0
201112130TOR,TOR,CAR,0
201112270PIT,PIT,CAR,0
201112290CAR,CAR,TOR,0
201111120CAR,CAR,PIT,4
201203310CAR,NJD,CAR,0
201202180NYI,NYI,CAR,3
201111110NYR,NYR,CAR,0
201110180BOS,CAR,BOS,9
201111250CAR,WPG,CAR,0
201111060CAR,DAL,CAR,3
201203300CAR,WPG,CAR,3
201110220WPG,WPG,CAR,0
201202230CAR,ANA,CAR,0
201203240DET,DET,CAR,1
201111080NJD,NJD,CAR,0
201201150WSH,WSH,CAR,3
