game_id,winner,loser,num_penalties
201110170TOR,COL,TOR,0
201202270COL,COL,ANA,0
201202040COL,VAN,COL,5
201202240CBJ,COL,CBJ,3
201203170NYR,COL,NYR,2
201203010COL,CBJ,COL,2
201203280VAN,VAN,COL,2
201112210COL,COL,STL,2
201111060COL,CGY,COL,2
201110150MTL,COL,MTL,4
201201240COL,MIN,COL,3
201201180COL,COL,FLA,1
201201100COL,NSH,COL,0
201201310EDM,EDM,COL,0
201203200COL,COL,CGY,0
201201120NSH,NSH,COL,0
201111020COL,PHX,COL,0
201112230COL,COL,TBL,0
201112060VAN,VAN,COL,7
201204070COL,NSH,COL,1
201110280COL,EDM,COL,2
201203060COL,COL,MIN,7
201201060CHI,COL,CHI,2
201112310ANA,COL,ANA,2
201203100COL,COL,EDM,0
201112270COL,WPG,COL,4
201202220COL,COL,LAK,2
201111230COL,VAN,COL,1
201112150SJS,SJS,COL,4
201111080DET,DET,COL,0
201203120COL,COL,ANA,0
201110200COL,CHI,COL,0
201201220ANA,ANA,COL,3
201202250DET,COL,DET,2
201110120CBJ,COL,CBJ,2
201110220CHI,COL,CHI,0
201111120COL,CGY,COL,1
201112090EDM,EDM,COL,0
201111170MIN,MIN,COL,4
201110260CGY,CGY,COL,0
201203080NSH,NSH,COL,4
201202070COL,COL,CHI,0
201202190WPG,WPG,COL,3
201201140DAL,COL,DAL,2
201202150VAN,VAN,COL,2
201112080CGY,CGY,COL,0
201112260MIN,COL,MIN,0
201202020COL,MIN,COL,6
201110130OTT,COL,OTT,5
201112290COL,COL,PHX,0
201204050COL,CBJ,COL,5
201111200COL,SJS,COL,0
201112020COL,COL,STL,3
201203220PHX,PHX,COL,0
201203240COL,VAN,COL,2
201111300COL,COL,NJD,2
201203030COL,PIT,COL,6
201202170EDM,COL,EDM,0
201111040DAL,DAL,COL,2
201111150PIT,PIT,COL,3
201203150NJD,NJD,COL,0
201112130COL,COL,SJS,0
201110300COL,COL,LAK,0
201112170COL,COL,WSH,2
201111280COL,DAL,COL,2
201201070STL,STL,COL,4
201112040COL,COL,DET,0
201202100COL,COL,CAR,0
201201210LAK,COL,LAK,0
201111260COL,COL,EDM,0
201202110STL,STL,COL,0
201201160PHX,PHX,COL,2
201110100BOS,COL,BOS,2
201203300CGY,COL,CGY,0
201110080COL,DET,COL,1
201203260SJS,SJS,COL,1
201203040MIN,COL,MIN,0
201112190COL,COL,PHI,2
201203140BUF,COL,BUF,3
201111100COL,COL,NYI,5
201111180COL,COL,DAL,0
201201020LAK,COL,LAK,1
