game_id,winner,loser,num_penalties
201203310SJS,SJS,DAL,5
201203220DAL,VAN,DAL,6
201110270DAL,LAK,DAL,2
201112010DAL,DAL,OTT,0
201111190DAL,SJS,DAL,9
201112290DAL,CBJ,DAL,1
201202260DAL,DAL,VAN,0
201202070DAL,PHX,DAL,1
201202040DAL,DAL,MIN,0
201202290DAL,PIT,DAL,3
201203020EDM,DAL,EDM,0
201203160DAL,CHI,DAL,0
201111250DAL,TOR,DAL,0
201111210DAL,DAL,EDM,0
201110150DAL,DAL,CBJ,1
201111110PIT,PIT,DAL,2
201202020SJS,SJS,DAL,2
201112210DAL,PHI,DAL,0
201202090CBJ,DAL,CBJ,1
201201030DAL,DET,DAL,0
201201120LAK,DAL,LAK,7
201202180PHX,PHX,DAL,0
201111120DET,DET,DAL,2
201202190DAL,NSH,DAL,0
201202210MTL,DAL,MTL,0
201110100DAL,DAL,PHX,2
201112130NYR,DAL,NYR,3
201203300VAN,VAN,DAL,0
201201210MIN,MIN,DAL,5
201110130DAL,DAL,STL,6
201203140WPG,WPG,DAL,2
201110290DAL,DAL,NJD,0
201110070DAL,DAL,CHI,1
201203200DAL,DAL,PHX,4
201202120DAL,LAK,DAL,2
201110250PHX,DAL,PHX,0
201112230DAL,DAL,NSH,0
201201200DAL,TBL,DAL,2
201110220LAK,LAK,DAL,2
201112030DAL,NYI,DAL,4
201110080CHI,CHI,DAL,3
201112260STL,STL,DAL,4
201110210ANA,DAL,ANA,0
201201140DAL,COL,DAL,2
201203040CGY,DAL,CGY,2
201203130MIN,DAL,MIN,0
201112100LAK,DAL,LAK,4
201201160STL,STL,DAL,4
201201240DAL,DAL,ANA,4
201202100BUF,BUF,DAL,1
201201170DAL,DET,DAL,0
201112150NYI,DAL,NYI,3
201201100ANA,ANA,DAL,0
201110180CBJ,DAL,CBJ,2
201203260CGY,CGY,DAL,2
201111230DAL,DAL,LAK,0
201202160DAL,DAL,CGY,2
201111040DAL,DAL,COL,2
201203100DAL,DAL,ANA,1
201201070DAL,DAL,EDM,2
201112080SJS,SJS,DAL,3
201202010ANA,DAL,ANA,0
201111280COL,DAL,COL,2
201204030DAL,SJS,DAL,0
201203280EDM,DAL,EDM,0
201201050NSH,DAL,NSH,5
201111080WSH,DAL,WSH,4
201202230CHI,DAL,CHI,0
201203060VAN,DAL,VAN,0
201203240DAL,DAL,CGY,4
201112310DAL,DAL,BOS,2
201111150DAL,FLA,DAL,1
201203080DAL,DAL,SJS,1
201112160NJD,NJD,DAL,0
201204070DAL,STL,DAL,4
201202140DET,DET,DAL,3
201202240DAL,DAL,MIN,0
201112190DAL,DAL,ANA,1
201204050NSH,NSH,DAL,0
201111060CAR,DAL,CAR,3
201111260PHX,PHX,DAL,1
201111180COL,COL,DAL,0
