game_id,winner,loser,num_penalties
201303160TBL,TBL,CAR,1
201303290TBL,TBL,NJD,2
201301190TBL,TBL,WSH,2
201302120TBL,MTL,TBL,5
201302100NYR,NYR,TBL,0
201301290TBL,TBL,FLA,2
201304110TBL,PIT,TBL,11
201304180MTL,MTL,TBL,1
201304040CAR,TBL,CAR,0
201302280NYR,NYR,TBL,3
201303020BOS,BOS,TBL,3
201302020TBL,NYR,TBL,0
201303200TOR,TOR,TBL,4
201304020TBL,FLA,TBL,2
201303180TBL,TBL,PHI,1
201303230OTT,OTT,TBL,5
201304130WSH,WSH,TBL,0
201302190TBL,TBL,TOR,7
201304160WPG,WPG,TBL,2
201301220CAR,TBL,CAR,1
201303040PIT,PIT,TBL,2
201302070NJD,NJD,TBL,0
201301250TBL,TBL,OTT,4
201302010TBL,TBL,WPG,1
201303240WPG,WPG,TBL,0
201302140TBL,WSH,TBL,1
201301210NYI,NYI,TBL,2
201301270TBL,TBL,PHI,4
201302050PHI,PHI,TBL,4
201303090TBL,MTL,TBL,0
201303120FLA,TBL,FLA,0
201302260TBL,BUF,TBL,0
201304210TBL,CAR,TBL,2
201302210TBL,BOS,TBL,1
201302240PIT,PIT,TBL,2
201302160FLA,TBL,FLA,1
201304060NYI,NYI,TBL,0
201304070WSH,WSH,TBL,2
201303140TBL,NYI,TBL,0
201303260TBL,TBL,BUF,3
201303050NJD,TBL,NJD,5
201304140BUF,BUF,TBL,0
201304250BOS,BOS,TBL,5
201302230CAR,TBL,CAR,0
201303070TBL,WPG,TBL,2
201304270TBL,FLA,TBL,2
201304240TBL,TBL,TOR,0
201304090TBL,TBL,OTT,4
