game_id,winner,loser,num_penalties
201405020PIT,NYR,PIT,1
201405040PIT,PIT,NYR,3
201406110NYR,NYR,LAK,2
201404290PHI,PHI,NYR,4
201405110NYR,NYR,PIT,4
201406070LAK,LAK,NYR,0
201405220NYR,MTL,NYR,3
201404300NYR,NYR,PHI,0
201405190MTL,NYR,MTL,2
201404170NYR,NYR,PHI,1
201405070NYR,PIT,NYR,0
201405050NYR,PIT,NYR,1
201406040LAK,LAK,NYR,0
201406130LAK,LAK,NYR,0
201405170MTL,NYR,MTL,2
201406090NYR,LAK,NYR,0
201404220PHI,NYR,PHI,3
201405130PIT,NYR,PIT,1
201404250PHI,PHI,NYR,3
201405290NYR,NYR,MTL,0
201405250NYR,NYR,MTL,2
201405090PIT,NYR,PIT,3
201404270NYR,NYR,PHI,1
201405270MTL,MTL,NYR,5
201404200NYR,PHI,NYR,1
