game_id,winner,loser,num_penalties
201603080WPG,NSH,WPG,1
201603120WPG,WPG,COL,1
201511070WPG,PHI,WPG,3
201512180WPG,WPG,NYR,2
201511250WSH,WSH,WPG,0
201602050WPG,CAR,WPG,0
201601100WPG,BUF,WPG,2
201602110WPG,BOS,WPG,8
201601140WPG,WPG,NSH,2
201603050WPG,WPG,MTL,0
201602020WPG,DAL,WPG,2
201511210WPG,WPG,ARI,0
201511280COL,COL,WPG,2
201601230WPG,NJD,WPG,0
201603200WPG,ANA,WPG,2
201510270WPG,LAK,WPG,0
201510250WPG,WPG,MIN,0
201603030WPG,NYI,WPG,2
201603010WPG,FLA,WPG,0
201601020SJS,WPG,SJS,0
201603160CGY,CGY,WPG,2
201602090STL,WPG,STL,0
201512290WPG,WPG,DET,0
201601260WPG,WPG,ARI,3
201511120DAL,DAL,WPG,0
201602060COL,WPG,COL,10
201510160WPG,WPG,CGY,1
201510130NYR,WPG,NYR,0
201604090LAK,WPG,LAK,0
201510230WPG,TBL,WPG,2
201512270WPG,WPG,PIT,0
201512020WPG,WPG,TOR,1
201512220CGY,CGY,WPG,0
201601120WPG,SJS,WPG,5
201511100MIN,MIN,WPG,2
201603240WPG,WPG,LAK,2
201601150MIN,WPG,MIN,0
201511040TOR,WPG,TOR,0
201602160CAR,CAR,WPG,2
201512150WPG,STL,WPG,2
201512050WPG,WPG,WSH,7
201604070SJS,WPG,SJS,0
201512310ARI,ARI,WPG,1
201603260BUF,BUF,WPG,0
201604030WPG,WPG,MIN,1
201511230WPG,COL,WPG,2
201603060WPG,EDM,WPG,0
201510080BOS,WPG,BOS,2
201512060CHI,CHI,WPG,1
201603280PHI,PHI,WPG,2
201511180WPG,WPG,VAN,5
201602230WPG,DAL,WPG,0
201511050OTT,OTT,WPG,0
201510180WPG,STL,WPG,6
201602180TBL,TBL,WPG,8
201510310CBJ,WPG,CBJ,2
201601180WPG,COL,WPG,0
201512210EDM,EDM,WPG,1
201603220WPG,WPG,VAN,0
201512100WPG,WPG,CBJ,4
201603100DET,DET,WPG,2
201601070DAL,DAL,WPG,1
201603300WPG,OTT,WPG,2
201510290WPG,WPG,CHI,0
201511010MTL,MTL,WPG,2
201512110CHI,CHI,WPG,1
201601030ANA,ANA,WPG,4
201601050NSH,WPG,NSH,0
201602250DAL,WPG,DAL,4
201510090NJD,WPG,NJD,0
201604010WPG,CHI,WPG,0
201603140VAN,WPG,VAN,1
201511270MIN,WPG,MIN,4
201602270PIT,PIT,WPG,0
201511160STL,STL,WPG,3
201602130EDM,WPG,EDM,2
201511140NSH,NSH,WPG,4
201601210WPG,NSH,WPG,2
201603180WPG,CHI,WPG,2
201604050ANA,WPG,ANA,0
201602200FLA,FLA,WPG,0
201510120NYI,NYI,WPG,4
