game_id,winner,loser,num_penalties
201705150PIT,PIT,OTT,3
201704140PIT,PIT,CBJ,1
201705100WSH,PIT,WSH,2
201705080PIT,WSH,PIT,1
201705190OTT,PIT,OTT,2
201705250PIT,PIT,OTT,0
201704120PIT,PIT,CBJ,1
201705130PIT,OTT,PIT,0
201706050NSH,NSH,PIT,1
201704200PIT,PIT,CBJ,0
201705030PIT,PIT,WSH,3
201704160CBJ,PIT,CBJ,0
201704270WSH,PIT,WSH,2
201705290PIT,PIT,NSH,1
201705210PIT,PIT,OTT,2
201704180CBJ,CBJ,PIT,0
201705060WSH,WSH,PIT,0
201705310PIT,PIT,NSH,2
201704290WSH,PIT,WSH,1
201705010PIT,WSH,PIT,0
201705230OTT,OTT,PIT,4
201706080PIT,PIT,NSH,5
201706030NSH,NSH,PIT,3
201706110NSH,PIT,NSH,1
201705170OTT,OTT,PIT,4
