game_id,winner,loser,num_penalties
201610200VAN,VAN,BUF,0
201702090CBJ,VAN,CBJ,4
201703110VAN,PIT,VAN,1
201701260ARI,ARI,VAN,0
201610160VAN,VAN,CAR,0
201703070VAN,MTL,VAN,0
201611100DET,DET,VAN,0
201612300VAN,VAN,ANA,1
201703250MIN,VAN,MIN,1
201701060VAN,VAN,CGY,0
201702280VAN,DET,VAN,0
201701020VAN,VAN,COL,0
201702070NSH,NSH,VAN,0
201703260WPG,WPG,VAN,0
201612130CAR,CAR,VAN,2
201702180VAN,VAN,CGY,0
201703280VAN,ANA,VAN,0
201703040LAK,VAN,LAK,0
201611170VAN,VAN,ARI,0
201702120BUF,VAN,BUF,3
201610290VAN,WSH,VAN,0
201612220VAN,WPG,VAN,1
201612110WSH,WSH,VAN,0
201701070CGY,CGY,VAN,0
201702110BOS,BOS,VAN,0
201611030OTT,OTT,VAN,5
201702040VAN,MIN,VAN,0
201702140PIT,PIT,VAN,0
201701040VAN,VAN,ARI,0
201611250DAL,DAL,VAN,2
201612080TBL,VAN,TBL,0
201702160STL,STL,VAN,0
201610230ANA,ANA,VAN,0
201611020MTL,MTL,VAN,0
201702020VAN,SJS,VAN,0
201610180VAN,VAN,STL,0
201611230ARI,VAN,ARI,0
201701200VAN,VAN,FLA,0
201703050ANA,VAN,ANA,0
201612060NJD,NJD,VAN,6
201703090VAN,NYI,VAN,0
201611080NYR,VAN,NYR,0
201701250COL,VAN,COL,0
201704090EDM,EDM,VAN,3
201612030VAN,VAN,TOR,2
201612160VAN,VAN,TBL,0
201612180VAN,CBJ,VAN,0
201612100FLA,FLA,VAN,0
201610280VAN,EDM,VAN,3
201703180EDM,EDM,VAN,0
201703020SJS,SJS,VAN,2
201611150VAN,NYR,VAN,0
201701150VAN,NJD,VAN,0
201703210CHI,VAN,CHI,0
201701220CHI,CHI,VAN,0
201703230STL,STL,VAN,3
201611190VAN,CHI,VAN,0
201612280VAN,VAN,LAK,0
201704080VAN,EDM,VAN,2
201612230CGY,CGY,VAN,0
201611290VAN,VAN,MIN,0
201701170VAN,VAN,NSH,0
201703310VAN,LAK,VAN,0
201610250VAN,OTT,VAN,0
201611050TOR,TOR,VAN,7
201611070NYI,NYI,VAN,0
201702250VAN,SJS,VAN,3
201611260COL,VAN,COL,2
201612310EDM,VAN,EDM,1
201610220LAK,LAK,VAN,3
201610150VAN,VAN,CGY,2
201704020VAN,SJS,VAN,0
201611130VAN,VAN,DAL,0
201703160VAN,DAL,VAN,2
201704040SJS,SJS,VAN,0
201701120PHI,PHI,VAN,0
201701100NSH,NSH,VAN,0
201703130VAN,BOS,VAN,0
201702190VAN,PHI,VAN,0
201704060ARI,ARI,VAN,3
201612200VAN,VAN,WPG,1
201612010VAN,ANA,VAN,0
