game_id,winner,loser,num_penalties
201711020ARI,BUF,ARI,0
201712030VEG,VEG,ARI,0
201801250ARI,CBJ,ARI,2
201711140WPG,WPG,ARI,0
201711060WSH,WSH,ARI,2
201803310ARI,ARI,STL,2
201711220ARI,SJS,ARI,0
201803220CAR,CAR,ARI,0
201803130ARI,ARI,LAK,0
201710280NJD,NJD,ARI,1
201802130SJS,ARI,SJS,2
201803150ARI,NSH,ARI,1
201802010ARI,DAL,ARI,2
201803100COL,COL,ARI,7
201712140ARI,TBL,ARI,8
201804050VAN,VAN,ARI,0
201801120ARI,EDM,ARI,0
201712020ARI,ARI,NJD,0
201803170ARI,MIN,ARI,1
201801060ARI,NYR,ARI,0
201711160MTL,ARI,MTL,7
201712220ARI,ARI,WSH,0
201802120ARI,ARI,CHI,4
201710170DAL,DAL,ARI,2
201803280VEG,ARI,VEG,0
201710190ARI,DAL,ARI,0
201710070ARI,VEG,ARI,0
201712310ANA,ANA,ARI,0
201803050EDM,EDM,ARI,5
201802150ARI,ARI,MTL,3
201803260TBL,ARI,TBL,0
201710210ARI,CHI,ARI,2
201711200TOR,ARI,TOR,0
201802100ARI,PHI,ARI,1
201710140ARI,BOS,ARI,0
201803290LAK,LAK,ARI,0
201803190ARI,ARI,CGY,3
201711240ARI,ARI,LAK,0
201802220ARI,CGY,ARI,5
201711180OTT,ARI,OTT,0
201803010ARI,ARI,MIN,0
201711110ARI,WPG,ARI,0
201802170ARI,ARI,EDM,0
201711070PIT,PIT,ARI,0
201802080MIN,ARI,MIN,0
201801130SJS,SJS,ARI,0
201802030LAK,LAK,ARI,2
201802060WPG,WPG,ARI,0
201801200STL,ARI,STL,2
201801160ARI,SJS,ARI,0
201802240ARI,ARI,ANA,1
201804030CGY,ARI,CGY,0
201710120ARI,DET,ARI,2
201712100CHI,CHI,ARI,0
201712230ARI,COL,ARI,6
201804070ARI,ANA,ARI,4
201801040ARI,ARI,NSH,0
201712280ARI,TOR,ARI,3
201710050ANA,ANA,ARI,0
201710240NYI,NYI,ARI,0
201710100VEG,VEG,ARI,0
201801220ARI,ARI,NYI,0
201710310DET,DET,ARI,0
201803070VAN,ARI,VAN,0
201710300PHI,ARI,PHI,3
201711090STL,STL,ARI,0
201712070BOS,BOS,ARI,0
201712090CBJ,CBJ,ARI,0
201711300CGY,CGY,ARI,0
201712190ARI,FLA,ARI,1
201802250ARI,VAN,ARI,0
201803240FLA,FLA,ARI,0
201711250ARI,VEG,ARI,0
201710260NYR,NYR,ARI,4
201712160ARI,PIT,ARI,1
201803030ARI,ARI,OTT,0
201711280EDM,EDM,ARI,0
201711040ARI,ARI,CAR,0
201801180NSH,NSH,ARI,0
201803110ARI,ARI,VAN,0
201803210BUF,ARI,BUF,2
201712270COL,ARI,COL,0
