game_id,winner,loser,num_penalties
201802030DAL,DAL,MIN,0
201802130MIN,MIN,NYR,0
201711090MTL,MIN,MTL,0
201710200WPG,WPG,MIN,0
201803160VEG,MIN,VEG,0
201711240MIN,MIN,COL,0
201712050LAK,LAK,MIN,2
201712230TBL,TBL,MIN,0
201801220MIN,MIN,OTT,0
201712160MIN,EDM,MIN,0
201802270MIN,MIN,STL,0
201802230NYR,MIN,NYR,0
201711160MIN,MIN,NSH,0
201803090VAN,MIN,VAN,0
201803010ARI,ARI,MIN,0
201801300CBJ,MIN,CBJ,0
201802100MIN,MIN,CHI,3
201804040ANA,ANA,MIN,0
201712270MIN,MIN,DAL,0
201802020MIN,MIN,VEG,2
201711020MIN,MIN,MTL,0
201712290MIN,MIN,NSH,2
201801250PIT,PIT,MIN,1
201710120CHI,MIN,CHI,4
201801200MIN,MIN,TBL,4
201711140MIN,MIN,PHI,0
201803040MIN,MIN,DET,3
201710280MIN,MIN,PIT,0
201803310DAL,DAL,MIN,1
201804070SJS,MIN,SJS,0
201801060COL,COL,MIN,8
201801100CHI,MIN,CHI,0
201712100SJS,MIN,SJS,0
201710260MIN,MIN,NYI,0
201711040MIN,CHI,MIN,0
201711060BOS,BOS,MIN,3
201712220FLA,FLA,MIN,2
201711220BUF,MIN,BUF,1
201803240MIN,MIN,NSH,1
201710210CGY,MIN,CGY,0
201711110PHI,MIN,PHI,0
201803060MIN,MIN,CAR,0
201803290MIN,MIN,DAL,1
201803130MIN,COL,MIN,5
201803170ARI,MIN,ARI,1
201802250MIN,MIN,SJS,0
201712170CHI,CHI,MIN,1
201711270WPG,WPG,MIN,7
201804020MIN,MIN,EDM,0
201711200MIN,NJD,MIN,3
201711080TOR,TOR,MIN,1
201712190OTT,MIN,OTT,0
201801140MIN,VAN,MIN,0
201803250MIN,BOS,MIN,1
201710070CAR,CAR,MIN,0
201801040MIN,MIN,BUF,0
201802060STL,MIN,STL,2
201710240MIN,VAN,MIN,1
201712140MIN,MIN,TOR,2
201802150MIN,WSH,MIN,1
201801130MIN,MIN,WPG,0
201710050DET,DET,MIN,0
201803020COL,COL,MIN,0
201711250STL,STL,MIN,2
201804050LAK,LAK,MIN,4
201803270NSH,NSH,MIN,1
201710140MIN,CBJ,MIN,0
201712020MIN,MIN,STL,1
201802170MIN,ANA,MIN,3
201802190NYI,MIN,NYI,0
201710310MIN,WPG,MIN,0
201803100EDM,EDM,MIN,1
201711300MIN,MIN,VEG,0
201712300NSH,NSH,MIN,0
201802220NJD,MIN,NJD,0
201803190MIN,LAK,MIN,2
201711180WSH,WSH,MIN,0
201801020MIN,MIN,FLA,2
201802080MIN,ARI,MIN,0
201712120MIN,MIN,CGY,0
201801090MIN,CGY,MIN,0
201712080ANA,MIN,ANA,0
