game_id,winner,loser,num_penalties
201712040WSH,WSH,SJS,9
201801180COL,COL,SJS,0
201801210ANA,SJS,ANA,0
201803260CHI,SJS,CHI,0
201801070WPG,WPG,SJS,2
201711240VEG,VEG,SJS,0
201712310DAL,DAL,SJS,2
201803220SJS,SJS,VEG,0
201803140EDM,SJS,EDM,0
201712090SJS,SJS,OTT,6
201710040SJS,PHI,SJS,0
201710200NJD,SJS,NJD,0
201801250SJS,NYR,SJS,0
201801200SJS,SJS,PIT,1
201711040SJS,SJS,ANA,0
201803040SJS,CBJ,SJS,0
201712010FLA,SJS,FLA,0
201711250SJS,SJS,WPG,0
201711180SJS,BOS,SJS,0
201803270STL,STL,SJS,0
201710170SJS,SJS,MTL,0
201803010SJS,SJS,CHI,0
201710280BUF,SJS,BUF,0
201802270SJS,SJS,EDM,2
201802130SJS,ARI,SJS,2
201802180SJS,SJS,DAL,0
201803290NSH,NSH,SJS,0
201804070SJS,MIN,SJS,0
201710210NYI,NYI,SJS,0
201711280PHI,SJS,PHI,1
201710120SJS,SJS,BUF,0
201711110SJS,SJS,VAN,0
201802080SJS,VEG,SJS,0
201712100SJS,MIN,SJS,0
201802100SJS,SJS,EDM,0
201803100SJS,WSH,SJS,0
201801310DET,DET,SJS,0
201710260BOS,BOS,SJS,0
201801130SJS,SJS,ARI,0
201712280SJS,SJS,CGY,0
201710230NYR,SJS,NYR,0
201801230SJS,WPG,SJS,3
201801040TOR,TOR,SJS,2
201802250MIN,MIN,SJS,0
201802020CBJ,SJS,CBJ,0
201804030SJS,DAL,SJS,1
201712150VAN,VAN,SJS,0
201801150LAK,SJS,LAK,0
201802150SJS,SJS,VAN,0
201711220ARI,SJS,ARI,0
201712070SJS,SJS,CAR,0
201803120SJS,SJS,DET,0
201712020TBL,TBL,SJS,0
201801020MTL,SJS,MTL,0
201710140SJS,NYI,SJS,0
201801300PIT,PIT,SJS,2
201712230SJS,SJS,LAK,4
201710300SJS,SJS,TOR,0
201711080SJS,TBL,SJS,0
201711120LAK,SJS,LAK,0
201803200SJS,SJS,NJD,0
201804050SJS,SJS,COL,0
201802040CAR,SJS,CAR,2
201801160ARI,SJS,ARI,0
201802220NSH,NSH,SJS,0
201802230CHI,CHI,SJS,0
201801050OTT,OTT,SJS,0
201711160SJS,FLA,SJS,0
201802110ANA,SJS,ANA,2
201803080SJS,SJS,STL,0
201802200STL,SJS,STL,0
201803240SJS,SJS,CGY,7
201712180EDM,EDM,SJS,0
201803310VEG,VEG,SJS,0
201710070SJS,LAK,SJS,1
201711200SJS,ANA,SJS,0
201802060COL,COL,SJS,0
201803160CGY,SJS,CGY,0
201712140CGY,SJS,CGY,0
201711010SJS,SJS,NSH,6
201712210SJS,SJS,VAN,2
201803170VAN,SJS,VAN,0
