game_id,winner,loser,num_penalties
201711110BOS,TOR,BOS,4
201710170WSH,TOR,WSH,0
201710210OTT,OTT,TOR,0
201803140TOR,TOR,DAL,0
201710230TOR,TOR,LAK,6
201803310TOR,WPG,TOR,0
201803220NSH,TOR,NSH,1
201801240CHI,TOR,CHI,0
201711040STL,STL,TOR,0
201801180PHI,PHI,TOR,0
201712230NYR,TOR,NYR,3
201711280CGY,TOR,CGY,0
201802240TOR,TOR,BOS,0
201803240TOR,TOR,DET,2
201803050BUF,BUF,TOR,2
201802260TBL,TBL,TOR,1
201803150BUF,TOR,BUF,2
201801200OTT,TOR,OTT,2
201802220TOR,TOR,NYI,0
201710280TOR,PHI,TOR,0
201803200TBL,TBL,TOR,2
201801310TOR,TOR,NYI,0
201712190TOR,TOR,CAR,5
201711240CAR,TOR,CAR,0
201802120TOR,TOR,TBL,0
201712020VAN,VAN,TOR,0
201712290COL,COL,TOR,0
201712200CBJ,CBJ,TOR,1
201711300EDM,TOR,EDM,2
201711010ANA,TOR,ANA,0
201804070TOR,TOR,MTL,0
201803280TOR,TOR,FLA,0
201712310VEG,VEG,TOR,0
201711160TOR,TOR,NJD,0
201710260TOR,CAR,TOR,0
201712100TOR,TOR,EDM,0
201804020TOR,TOR,BUF,0
201804050NJD,NJD,TOR,0
201711200TOR,ARI,TOR,0
201802180DET,TOR,DET,0
201710090TOR,TOR,CHI,0
201711220FLA,FLA,TOR,0
201803260TOR,BUF,TOR,0
201803300NYI,TOR,NYI,2
201801040TOR,TOR,SJS,2
201712150DET,DET,TOR,0
201802010NYR,TOR,NYR,0
201801250DAL,TOR,DAL,2
201711060TOR,TOR,VEG,0
201801220TOR,COL,TOR,0
201802270FLA,FLA,TOR,0
201712280ARI,TOR,ARI,3
201711080TOR,TOR,MIN,1
201712060TOR,TOR,CGY,0
201803030WSH,WSH,TOR,0
201711180MTL,TOR,MTL,9
201710140MTL,TOR,MTL,0
201802100TOR,TOR,OTT,0
201801060TOR,TOR,VAN,0
201710110TOR,NJD,TOR,2
201712090PIT,TOR,PIT,0
201710300SJS,SJS,TOR,0
201712140MIN,MIN,TOR,2
201710070TOR,TOR,NYR,0
201801160TOR,STL,TOR,2
201801080TOR,CBJ,TOR,0
201802200TOR,TOR,FLA,0
201710180TOR,TOR,DET,0
201802070TOR,TOR,NSH,0
201802030BOS,BOS,TOR,0
201803100TOR,TOR,PIT,2
201802050TOR,TOR,ANA,0
201711100TOR,TOR,BOS,0
201711250TOR,WSH,TOR,0
201803170TOR,TOR,MTL,0
201801020TOR,TBL,TOR,1
201710040WPG,TOR,WPG,0
201801100TOR,OTT,TOR,0
201711020LAK,LAK,TOR,0
201802140TOR,TOR,CBJ,1
201802170PIT,PIT,TOR,0
201712120PHI,PHI,TOR,0
