game_id,winner,loser,num_penalties
201904040BUF,BUF,OTT,0
201902060TOR,TOR,OTT,0
201902120OTT,CAR,OTT,2
201902070OTT,OTT,ANA,0
201812170OTT,OTT,NSH,2
201812220OTT,WSH,OTT,0
201901180CAR,OTT,CAR,3
201810230OTT,BOS,OTT,2
201903140OTT,OTT,STL,0
201812210NJD,NJD,OTT,2
201812290OTT,WSH,OTT,4
201811260NYR,NYR,OTT,1
201811270PHI,OTT,PHI,2
201812060OTT,MTL,OTT,0
201903110PHI,PHI,OTT,0
201812090OTT,BOS,OTT,2
201810080BOS,BOS,OTT,3
201812110NSH,NSH,OTT,0
201902210NJD,NJD,OTT,1
201903050NYI,NYI,OTT,0
201902090OTT,OTT,WPG,2
201904060OTT,CBJ,OTT,0
201902010PIT,PIT,OTT,2
201904030NYR,OTT,NYR,1
201901020OTT,VAN,OTT,2
201810200OTT,OTT,MTL,0
201901060OTT,CAR,OTT,0
201902160WPG,OTT,WPG,0
201810300ARI,ARI,OTT,2
201902220OTT,CBJ,OTT,0
201903260OTT,OTT,BUF,0
201812280NYI,NYI,OTT,10
201811150OTT,OTT,DET,2
201903070OTT,NYI,OTT,3
201901220OTT,ARI,OTT,0
201811230DAL,DAL,OTT,4
201810040OTT,CHI,OTT,0
201811030BUF,BUF,OTT,1
201811170OTT,OTT,PIT,3
201902180CHI,CHI,OTT,2
201811040OTT,TBL,OTT,0
201901160OTT,OTT,COL,0
201903230EDM,OTT,EDM,2
201810260COL,COL,OTT,0
201812080OTT,OTT,PIT,1
201812310CBJ,CBJ,OTT,4
201812140DET,OTT,DET,2
201902140DET,DET,OTT,6
201903200VAN,VAN,OTT,0
201810150OTT,OTT,DAL,0
201903280OTT,FLA,OTT,1
201903210CGY,CGY,OTT,1
201902260WSH,WSH,OTT,0
201902020OTT,DET,OTT,0
201811110FLA,FLA,OTT,0
201903160OTT,OTT,TOR,1
201810280VEG,VEG,OTT,2
201811010OTT,OTT,BUF,0
201810100OTT,PHI,OTT,11
201902240OTT,CGY,OTT,0
201903090BOS,BOS,OTT,1
201811190OTT,FLA,OTT,1
201903020TBL,TBL,OTT,2
201811060OTT,OTT,NJD,1
201902280OTT,EDM,OTT,0
201901050OTT,MIN,OTT,0
201901190STL,STL,OTT,0
201904010OTT,TBL,OTT,2
201811290OTT,OTT,NYR,1
201810130OTT,OTT,LAK,0
201811080OTT,VEG,OTT,2
201903030FLA,OTT,FLA,0
201901100LAK,OTT,LAK,0
201812040MTL,MTL,OTT,5
201903300OTT,OTT,TOR,0
201901120SJS,SJS,OTT,0
201811210MIN,MIN,OTT,1
201901090ANA,OTT,ANA,0
201810060TOR,OTT,TOR,0
201811100TBL,OTT,TBL,0
201812010OTT,OTT,SJS,2
201812150MTL,MTL,OTT,0
