game_id,winner,loser,num_penalties
201904290DAL,STL,DAL,0
201905070STL,STL,DAL,0
201904140STL,WPG,STL,5
201905290BOS,STL,BOS,0
201904160STL,WPG,STL,0
201905030STL,DAL,STL,0
201904250STL,STL,DAL,5
201905050DAL,STL,DAL,0
201906010STL,BOS,STL,3
201904180WPG,STL,WPG,1
201904120WPG,STL,WPG,1
201905110SJS,SJS,STL,5
201906120BOS,STL,BOS,0
201905130SJS,STL,SJS,0
201904200STL,STL,WPG,1
201905010DAL,DAL,STL,1
201905170STL,STL,SJS,1
201906030STL,STL,BOS,0
201906060BOS,STL,BOS,0
201905190SJS,STL,SJS,1
201905210STL,STL,SJS,0
201905270BOS,BOS,STL,0
201904100WPG,STL,WPG,0
201906090STL,BOS,STL,2
201904270STL,DAL,STL,4
201905150STL,SJS,STL,0
