game_id,winner,loser,num_penalties
202009190TBL,DAL,TBL,2
202008300DAL,DAL,COL,2
202009250DAL,TBL,DAL,0
202008050DAL,COL,DAL,0
202009210TBL,TBL,DAL,4
202008200CGY,DAL,CGY,0
202008260DAL,COL,DAL,4
202009020DAL,COL,DAL,0
202008090STL,DAL,STL,0
202008110DAL,CGY,DAL,2
202009040COL,DAL,COL,0
202009280DAL,TBL,DAL,0
202009260TBL,DAL,TBL,0
202009230DAL,TBL,DAL,8
202009100DAL,DAL,VEG,1
202008180DAL,DAL,CGY,0
202009120DAL,DAL,VEG,0
202008310COL,COL,DAL,4
202008140CGY,CGY,DAL,0
202009060VEG,DAL,VEG,0
202008240COL,DAL,COL,2
202008220COL,DAL,COL,0
202008130DAL,DAL,CGY,1
202009140VEG,DAL,VEG,2
202008160CGY,DAL,CGY,0
202008030VEG,VEG,DAL,0
202009080VEG,VEG,DAL,1
