game_id,winner,loser,num_penalties
202008290NYI,NYI,PHI,0
202008260PHI,PHI,NYI,1
202008160NYI,NYI,WSH,0
202009110NYI,NYI,TBL,4
202009090TBL,TBL,NYI,5
202008140WSH,NYI,WSH,0
202008010NYI,NYI,FLA,1
202008120WSH,NYI,WSH,7
202008240PHI,NYI,PHI,0
202008300NYI,NYI,PHI,0
202008040NYI,NYI,FLA,2
202008070FLA,NYI,FLA,0
202009130NYI,TBL,NYI,2
202009030NYI,PHI,NYI,0
202008200WSH,NYI,WSH,0
202009150TBL,NYI,TBL,0
202009170NYI,TBL,NYI,0
202009050PHI,NYI,PHI,2
202009070TBL,TBL,NYI,2
202008180NYI,WSH,NYI,4
202009010PHI,PHI,NYI,0
202008050FLA,FLA,NYI,0
