game_id,winner,loser,num_penalties
201911270NSH,VEG,NSH,0
201911130VEG,CHI,VEG,0
201911250DAL,DAL,VEG,0
202003090EDM,VEG,EDM,0
202002130VEG,VEG,STL,2
202001160OTT,VEG,OTT,0
201910270VEG,VEG,ANA,0
201910020VEG,VEG,SJS,1
201912280VEG,VEG,ARI,3
201911090WSH,WSH,VEG,3
202002230ANA,VEG,ANA,0
202001180MTL,MTL,VEG,0
201910190PIT,VEG,PIT,0
201911190VEG,VEG,TOR,0
201912310VEG,VEG,ANA,2
201912080VEG,NYR,VEG,2
201912190VAN,VAN,VEG,0
202002060FLA,VEG,FLA,0
201910130LAK,VEG,LAK,0
201912270ANA,ANA,VEG,2
202003080CGY,VEG,CGY,0
201911020VEG,WPG,VEG,2
202002260VEG,VEG,EDM,0
201911100DET,DET,VEG,0
202002150VEG,VEG,NYI,4
201911070TOR,TOR,VEG,0
202001090VEG,LAK,VEG,0
201911290VEG,VEG,ARI,0
202001070VEG,PIT,VEG,0
201911170VEG,VEG,CGY,9
202002080VEG,CAR,VEG,1
201910040SJS,VEG,SJS,1
201912020NYR,VEG,NYR,0
201912030NJD,VEG,NJD,2
201911050CBJ,VEG,CBJ,0
201911230VEG,EDM,VEG,0
201912100VEG,VEG,CHI,0
201911210VEG,SJS,VEG,0
201912230VEG,COL,VEG,3
202001040VEG,VEG,STL,7
202002010NSH,VEG,NSH,0
201912050NYI,NYI,VEG,0
202001140BUF,BUF,VEG,1
202003060WPG,WPG,VEG,0
201910170VEG,VEG,OTT,2
201912150VEG,VEG,VAN,3
202003010VEG,LAK,VEG,0
202002280VEG,VEG,BUF,0
201910080VEG,BOS,VEG,0
202002040TBL,TBL,VEG,2
201912220SJS,VEG,SJS,2
202002110MIN,MIN,VEG,5
202002200VEG,VEG,TBL,0
202001110VEG,CBJ,VEG,0
202002170VEG,VEG,WSH,0
201910100ARI,ARI,VEG,0
202001310CAR,VEG,CAR,0
201910120VEG,VEG,CGY,0
201912120STL,STL,VEG,0
202001210BOS,BOS,VEG,0
201910250VEG,COL,VEG,2
202002220VEG,VEG,FLA,1
201910220CHI,VEG,CHI,0
201910310VEG,MTL,VEG,0
201910210PHI,PHI,VEG,0
201912170VEG,VEG,MIN,0
202001020VEG,VEG,PHI,0
202003030VEG,VEG,NJD,0
201912130DAL,VEG,DAL,0
201910150VEG,NSH,VEG,4
201911160LAK,LAK,VEG,1
