abbr,name,start,end,prev,next
ANA,Anaheim Ducks,2007,present,MDA,
ARI,Arizona Coyotes,2015,present,PHX,
ATF,Atlanta Flames,1973,1980,,CGY
ATL,Atlanta Thrashers,2000,2011,,WPG
BOS,Boston Bruins,1925,present,,
BUF,Buffalo Sabres,1971,present,,
CAR,Carolina Hurricanes,1998,present,HAR,
CBH,Chicago Black Hawks,1927,1986,,CHI
CBJ,Columbus Blue Jackets,2001,present,,
CGY,Calgary Flames,1981,present,ATF,
CHI,Chicago Blackhawks,1987,present,CBH,
CLR,Colorado Rockies,1977,1982,KCS,NJD
COL,Colorado Avalanche,1996,present,QUE,
DAL,Dallas Stars,1994,present,MNS,
DET,Detroit Red Wings,1933,present,DTF,
DTC,Detroit Cougars,1927,1930,,DTF
DTF,Detroit Falcons,1931,1932,DTC,DET
EDM,Edmonton Oilers,1980,present,,
FLA,Florida Panthers,1994,present,,
HAR,Hartford Whalers,1980,1997,,CAR
KCS,Kansas City Scouts,1975,1976,,CLR
LAK,Los Angeles Kings,1968,present,,
MDA,Mighty Ducks of Anaheim,1994,2006,,ANA
MIN,Minnesota Wild,2001,present,,
MNS,Minnesota North Stars,1968,1993,,DAL
MTL,Montreal Canadiens,1918,present,,
NJD,New Jersey Devils,1983,present,,
NSH,Nashville Predators,1999,present,,
NYI,New York Islanders,1973,present,,
NYR,New York Rangers,1927,present,,
OTT,Ottawa Senators,1993,present,,
PHI,Philadelphia Flyers,1968,present,,
PHX,Phoenix Coyotes,1997,2014,WIN,ARI
PIT,Pittsburgh Penguins,1968,present,,
QUE,Quebec Nordiques,1980,1995,,COL
SJS,San Jose Sharks,1992,present,,
STL,St. Louis Blues,1968,present,,
TBL,Tampa Bay Lightning,1993,present,,
TOR,Toronto Maple Leafs,1927,present,TRS,
TRA,Toronto Arenas,1918,1919,,TRS
TRS,Toronto St. Patricks,1920,1926,TRA,TOR
VAN,Vancouver Canucks,1971,present,,
VEG,Vegas Golden Knights,2018,present,,
WIN,Winnipeg Jets,1980,1996,,PHX
WPG,Winnipeg Jets,2012,present,ATL,
WSH,Washington Capitals,1975,present,,
